chip_slug,as_of_date,window_days,n_sources,confidence,n_available,breadth,n_available_8x,breadth_8x,panel_signature,pct_available_median,pct_available_8x_median,pct_available_mean,pct_available_8x_mean,methodology_version
a100-sxm-40gb,2026-05-28,7,1,thin,1,1.0,0,,7e6f22cd,0.8571,,0.8571,,v2.2.1
a100-sxm-40gb,2026-05-29,7,1,thin,1,1.0,0,,7e6f22cd,0.8571,,0.8571,,v2.2.1
a100-sxm-40gb,2026-05-30,7,1,thin,1,1.0,0,,7e6f22cd,0.9167,,0.9167,,v2.2.1
a100-sxm-40gb,2026-05-31,7,1,thin,1,1.0,0,,7e6f22cd,0.8182,,0.8182,,v2.2.1
a100-sxm-40gb,2026-06-01,7,1,thin,1,1.0,0,,7e6f22cd,0.8158,,0.8158,,v2.2.1
a100-sxm-40gb,2026-06-02,7,1,thin,1,1.0,0,,7e6f22cd,0.8409,,0.8409,,v2.2.1
a100-sxm-40gb,2026-06-03,7,1,thin,1,1.0,0,,7e6f22cd,0.8367,,0.8367,,v2.2.1
a100-sxm-40gb,2026-06-04,7,1,thin,1,1.0,0,,7e6f22cd,0.84,,0.84,,v2.2.1
a100-sxm-40gb,2026-06-05,7,1,thin,1,1.0,0,,7e6f22cd,0.84,,0.84,,v2.2.1
a100-sxm-40gb,2026-06-06,7,1,thin,1,1.0,0,,7e6f22cd,0.82,,0.82,,v2.2.1
a100-sxm-40gb,2026-06-07,7,1,thin,1,1.0,0,,7e6f22cd,0.88,,0.88,,v2.2.1
a100-sxm-40gb,2026-06-08,7,1,thin,1,1.0,0,,7e6f22cd,0.9038,,0.9038,,v2.2.1
a100-sxm-40gb,2026-06-09,7,1,thin,1,1.0,0,,7e6f22cd,0.9057,,0.9057,,v2.2.1
a100-sxm-40gb,2026-06-10,7,1,thin,1,1.0,0,,7e6f22cd,0.9273,,0.9273,,v2.2.1
a100-sxm-40gb,2026-06-11,7,1,thin,1,1.0,0,,7e6f22cd,0.9444,,0.9444,,v2.2.1
a100-sxm-40gb,2026-06-12,7,1,thin,1,1.0,0,,7e6f22cd,0.963,,0.963,,v2.2.1
a100-sxm-40gb,2026-06-13,7,1,thin,1,1.0,0,,7e6f22cd,0.9773,,0.9773,,v2.2.1
a100-sxm-40gb,2026-06-14,7,1,thin,1,1.0,0,,7e6f22cd,1.0,,1.0,,v2.2.1
a100-sxm-40gb,2026-06-15,7,1,thin,1,1.0,0,,7e6f22cd,1.0,,1.0,,v2.2.1
a100-sxm-40gb,2026-06-16,7,1,thin,1,1.0,0,,7e6f22cd,1.0,,1.0,,v2.2.1
a100-sxm-40gb,2026-06-17,7,1,thin,1,1.0,0,,7e6f22cd,1.0,,1.0,,v2.2.1
a100-sxm-40gb,2026-06-18,7,1,thin,1,1.0,0,,7e6f22cd,1.0,,1.0,,v2.2.1
a100-sxm-40gb,2026-06-19,7,1,thin,1,1.0,0,,7e6f22cd,1.0,,1.0,,v2.2.1
a100-sxm-40gb,2026-06-20,7,1,thin,1,1.0,0,,7e6f22cd,1.0,,1.0,,v2.2.1
a100-sxm-40gb,2026-06-21,7,1,thin,1,1.0,0,,7e6f22cd,1.0,,1.0,,v2.2.1
a100-sxm-40gb,2026-06-22,7,1,thin,1,1.0,0,,7e6f22cd,1.0,,1.0,,v2.2.1
a100-sxm-40gb,2026-06-23,7,1,thin,1,1.0,0,,7e6f22cd,0.8889,,0.8889,,v2.2.1
a100-sxm-40gb,2026-06-24,7,1,thin,1,1.0,0,,7e6f22cd,0.8846,,0.8846,,v2.2.1
a100-sxm-40gb,2026-06-25,7,1,thin,1,1.0,0,,7e6f22cd,0.8846,,0.8846,,v2.2.1
a100-sxm-40gb,2026-06-26,7,1,thin,1,1.0,0,,7e6f22cd,0.8,,0.8,,v2.2.1
a100-sxm-40gb,2026-06-27,7,1,thin,1,1.0,0,,7e6f22cd,0.7727,,0.7727,,v2.2.1
a100-sxm-40gb,2026-06-28,7,1,thin,1,1.0,0,,7e6f22cd,0.7727,,0.7727,,v2.2.1
a100-sxm-40gb,2026-06-29,7,1,thin,1,1.0,0,,7e6f22cd,0.7826,,0.7826,,v2.2.1
a100-sxm-40gb,2026-06-30,7,1,thin,1,1.0,0,,7e6f22cd,0.913,,0.913,,v2.2.1
a100-sxm-40gb,2026-07-01,7,1,thin,1,1.0,0,,7e6f22cd,0.92,,0.92,,v2.2.1
a100-sxm-40gb,2026-07-02,7,1,thin,1,1.0,0,,7e6f22cd,0.9231,,0.9231,,v2.2.1
a100-sxm-40gb,2026-07-03,7,2,thin,2,1.0,0,,98f6d8a4,1.0,,1.0,,v2.2.1
a100-sxm-40gb,2026-07-04,7,3,ok,2,0.6667,0,,c1b50742,0.9714,,0.6571,,v2.2.1
a100-sxm-40gb,2026-07-05,7,3,ok,2,0.6667,0,,c1b50742,0.9737,,0.6579,,v2.2.1
a100-sxm-40gb,2026-07-06,7,3,ok,2,0.6667,0,,c1b50742,0.9737,,0.6579,,v2.2.1
a100-sxm-40gb,2026-07-07,7,3,ok,2,0.6667,0,,c1b50742,0.925,,0.6417,,v2.2.1
a100-sxm-40gb,2026-07-08,7,3,ok,2,0.6667,0,,c1b50742,0.9286,,0.6429,,v2.2.1
a100-sxm-40gb,2026-07-09,7,3,ok,2,0.6667,0,,c1b50742,0.9048,,0.6349,,v2.2.1
a100-sxm-40gb,2026-07-10,7,3,ok,2,0.6667,0,,c1b50742,0.8571,,0.5794,,v2.2.1
a100-sxm-40gb,2026-07-11,7,3,ok,2,0.6667,0,,c1b50742,0.8571,,0.5873,,v2.2.1
a100-sxm-40gb,2026-07-12,7,3,ok,2,0.6667,0,,c1b50742,0.8571,,0.5803,,v2.2.1
a100-sxm-40gb,2026-07-13,7,3,ok,2,0.6667,0,,c1b50742,0.7143,,0.5335,,v2.2.1
a100-sxm-40gb,2026-07-14,7,3,ok,2,0.6667,0,,c1b50742,0.7143,,0.5492,,v2.2.1
a100-sxm-40gb,2026-07-15,7,3,ok,2,0.6667,0,,c1b50742,0.7143,,0.5335,,v2.2.1
a100-sxm-40gb,2026-07-16,7,3,ok,2,0.6667,0,,c1b50742,0.7143,,0.5424,,v2.2.1
a100-sxm-40gb,2026-07-17,7,3,ok,2,0.6667,0,,c1b50742,0.8571,,0.5978,,v2.2.1
a100-sxm-40gb,2026-07-18,7,3,ok,2,0.6667,0,,c1b50742,0.8571,,0.5978,,v2.2.1
a100-sxm-40gb,2026-07-19,7,3,ok,2,0.6667,0,,c1b50742,0.8571,,0.6049,,v2.2.1
a100-sxm-40gb,2026-07-20,7,3,ok,2,0.6667,0,,c1b50742,0.9149,,0.6383,,v2.2.1
a100-sxm-40gb,2026-07-21,7,3,ok,2,0.6667,0,,c1b50742,0.8571,,0.5765,,v2.2.1
a100-sxm-40gb,2026-07-22,7,3,ok,2,0.6667,0,,c1b50742,0.7143,,0.5298,,v2.2.1
a100-sxm-40gb,2026-07-23,7,3,ok,2,0.6667,0,,c1b50742,0.5714,,0.4803,,v2.2.1
a100-sxm-40gb,2026-07-24,7,3,ok,2,0.6667,0,,c1b50742,0.5714,,0.4742,,v2.2.1
a100-sxm-40gb,2026-07-25,7,3,ok,2,0.6667,0,,c1b50742,0.5714,,0.4752,,v2.2.1
a100-sxm-40gb,2026-07-26,7,3,ok,2,0.6667,0,,c1b50742,0.5714,,0.4626,,v2.2.1
a100-sxm-40gb,2026-07-27,7,3,ok,2,0.6667,0,,c1b50742,0.5714,,0.4638,,v2.2.1
a100-sxm-40gb,2026-07-28,7,3,ok,2,0.6667,0,,c1b50742,0.7143,,0.5248,,v2.2.1
a100-sxm-40gb,2026-07-29,7,3,ok,2,0.6667,0,,c1b50742,0.8571,,0.5798,,v2.2.1
a100-sxm-40gb,2026-07-30,7,3,ok,2,0.6667,0,,c1b50742,0.8889,,0.6296,,v2.2.1
a100-sxm-40gb,2026-07-31,7,3,ok,2,0.6667,0,,c1b50742,0.8936,,0.6312,,v2.2.1
