chip_slug,as_of_date,window_days,n_sources,confidence,n_available,breadth,n_available_8x,breadth_8x,panel_signature,pct_available_median,pct_available_8x_median,methodology_version
a100-sxm-80gb,2026-05-28,7,7,ok,7,1.0,1,0.5,cc3db49f,0.8571,0.5,v2.2.0
a100-sxm-80gb,2026-05-29,7,7,ok,7,1.0,2,1.0,cc3db49f,0.8571,0.5357,v2.2.0
a100-sxm-80gb,2026-05-30,7,7,ok,7,1.0,2,1.0,cc3db49f,0.9167,0.5208,v2.2.0
a100-sxm-80gb,2026-05-31,7,7,ok,7,1.0,2,1.0,cc3db49f,0.9091,0.5152,v2.2.0
a100-sxm-80gb,2026-06-01,7,7,ok,7,1.0,2,1.0,cc3db49f,0.9211,0.5132,v2.2.0
a100-sxm-80gb,2026-06-02,7,7,ok,7,1.0,2,1.0,cc3db49f,0.9318,0.5227,v2.2.0
a100-sxm-80gb,2026-06-03,7,7,ok,7,1.0,2,1.0,cc3db49f,0.9388,0.5306,v2.2.0
a100-sxm-80gb,2026-06-04,7,7,ok,7,1.0,2,1.0,cc3db49f,0.88,0.55,v2.2.0
a100-sxm-80gb,2026-06-05,7,7,ok,7,1.0,2,1.0,cc3db49f,0.975,0.56,v2.2.0
a100-sxm-80gb,2026-06-06,7,7,ok,7,1.0,2,1.0,cc3db49f,0.98,0.56,v2.2.0
a100-sxm-80gb,2026-06-07,7,7,ok,7,1.0,2,1.0,cc3db49f,0.98,0.57,v2.2.0
a100-sxm-80gb,2026-06-08,7,7,ok,7,1.0,2,1.0,cc3db49f,0.9737,0.5769,v2.2.0
a100-sxm-80gb,2026-06-09,7,7,ok,7,1.0,2,1.0,cc3db49f,0.975,0.6038,v2.2.0
a100-sxm-80gb,2026-06-10,7,7,ok,7,1.0,2,1.0,cc3db49f,0.9535,0.6455,v2.2.0
a100-sxm-80gb,2026-06-11,7,7,ok,6,0.8571,2,1.0,cc3db49f,0.9535,0.6296,v2.2.0
a100-sxm-80gb,2026-06-12,7,7,ok,6,0.8571,2,1.0,cc3db49f,0.95,0.6389,v2.2.0
a100-sxm-80gb,2026-06-13,7,7,ok,6,0.8571,2,1.0,cc3db49f,0.9811,0.6321,v2.2.0
a100-sxm-80gb,2026-06-14,7,7,ok,6,0.8571,2,1.0,cc3db49f,0.9615,0.6827,v2.2.0
a100-sxm-80gb,2026-06-15,7,8,ok,6,0.75,2,0.6667,aa2140a7,0.9583,0.42,v2.2.0
