chip_slug,as_of_date,window_days,n_sources,confidence,n_available,breadth,n_available_8x,breadth_8x,panel_signature,pct_available_median,pct_available_8x_median,pct_available_mean,pct_available_8x_mean,methodology_version
b200-sxm,2026-08-18,7,5,ok,2,0.4,1,0.3333,cb1534a8,0.0,0.0,0.3747,0.2738,v2.4.0
b200-sxm,2026-08-19,7,5,ok,2,0.4,1,0.3333,cb1534a8,0.0,0.0,0.3643,0.2976,v2.4.0
b200-sxm,2026-08-20,7,5,ok,2,0.4,1,0.3333,cb1534a8,0.0,0.0,0.3549,0.2976,v2.4.0
b200-sxm,2026-08-21,7,6,ok,3,0.5,2,0.5,76a456d1,0.4113,0.4464,0.4645,0.4732,v2.4.0
b200-sxm,2026-08-22,7,6,ok,3,0.5,2,0.5,76a456d1,0.4113,0.4464,0.4645,0.4732,v2.4.0
b200-sxm,2026-08-23,7,6,ok,3,0.5,2,0.5,76a456d1,0.4194,0.4464,0.4672,0.4732,v2.4.0
b200-sxm,2026-08-24,7,6,ok,3,0.5,2,0.5,76a456d1,0.4206,0.4643,0.4676,0.4821,v2.4.0
b200-sxm,2026-08-25,7,6,ok,3,0.5,2,0.5,76a456d1,0.4444,0.5,0.4815,0.5,v2.4.0
b200-sxm,2026-08-26,7,6,ok,3,0.5,2,0.5,76a456d1,0.459,0.5,0.4863,0.5,v2.4.0
b200-sxm,2026-08-27,7,7,ok,4,0.5714,2,0.4,9ce3e397,0.2,0.0,0.4546,0.4,v2.4.0
b200-sxm,2026-08-28,7,7,ok,4,0.5714,2,0.4,9ce3e397,0.2,0.0,0.4542,0.3852,v2.4.0
b200-sxm,2026-08-29,7,7,ok,4,0.5714,2,0.4,9ce3e397,0.2,0.0,0.4542,0.3852,v2.4.0
b200-sxm,2026-08-30,7,7,ok,4,0.5714,2,0.4,9ce3e397,0.2,0.0,0.4542,0.3852,v2.4.0
b200-sxm,2026-08-31,7,7,ok,4,0.5714,2,0.4,9ce3e397,0.2,0.0,0.4542,0.3852,v2.4.0
b200-sxm,2026-09-01,7,7,ok,4,0.5714,2,0.4,9ce3e397,0.2,0.0,0.4542,0.3852,v2.4.0
b200-sxm,2026-09-02,7,7,ok,4,0.5714,2,0.4,9ce3e397,0.2,0.0,0.4514,0.3778,v2.4.0
b200-sxm,2026-09-03,7,6,ok,3,0.5,2,0.5,76a456d1,0.4811,0.4074,0.4937,0.4396,v2.4.0
b200-sxm,2026-09-04,7,6,ok,3,0.5,2,0.5,76a456d1,0.4821,0.4286,0.4911,0.4375,v2.4.0
b200-sxm,2026-09-05,7,6,ok,3,0.5,2,0.5,76a456d1,0.4821,0.3661,0.4911,0.4062,v2.4.0
b200-sxm,2026-09-06,7,6,ok,3,0.5,2,0.5,76a456d1,0.4821,0.3125,0.4911,0.3795,v2.4.0
b200-sxm,2026-09-07,7,6,ok,3,0.5,2,0.5,76a456d1,0.4732,0.2589,0.4881,0.3438,v2.4.0
b200-sxm,2026-09-08,7,6,ok,3,0.5,2,0.5,76a456d1,0.4083,0.1917,0.4667,0.2923,v2.4.0
b200-sxm,2026-09-09,7,6,ok,3,0.5,2,0.5,76a456d1,0.3421,0.1184,0.4452,0.2646,v2.4.0
b200-sxm,2026-09-10,7,6,ok,3,0.5,2,0.5,76a456d1,0.288,0.1033,0.4239,0.2748,v2.4.0
b200-sxm,2026-09-11,7,6,ok,3,0.5,2,0.5,76a456d1,0.2778,0.0926,0.4228,0.2695,v2.4.0
b200-sxm,2026-09-12,7,6,ok,3,0.5,2,0.5,76a456d1,0.3065,0.0927,0.4328,0.2607,v2.4.0
b200-sxm,2026-09-13,7,6,ok,3,0.5,2,0.5,76a456d1,0.3286,0.0929,0.4393,0.2518,v2.4.0
b200-sxm,2026-09-14,7,6,ok,3,0.5,2,0.5,76a456d1,0.3333,0.0833,0.4353,0.2381,v2.4.0
b200-sxm,2026-09-15,7,6,ok,3,0.5,2,0.5,76a456d1,0.3512,0.0774,0.4415,0.253,v2.4.0
b200-sxm,2026-09-16,7,6,ok,3,0.5,2,0.5,76a456d1,0.3571,0.0833,0.4425,0.2292,v2.4.0
