chip_slug,as_of_date,window_days,n_sources,confidence,n_available,breadth,n_available_8x,breadth_8x,panel_signature,pct_available_median,pct_available_8x_median,pct_available_mean,pct_available_8x_mean,methodology_version
b300,2026-05-23,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-05-24,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-05-25,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-05-26,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-05-27,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-05-28,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-05-29,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-05-30,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-05-31,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-01,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-02,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-03,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-04,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-05,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-06,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-07,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-08,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-09,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-10,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-11,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-12,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-13,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-14,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-15,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-16,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-17,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-18,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-19,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-20,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-21,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-22,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-23,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-24,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-25,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-26,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-27,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-28,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-29,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-06-30,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-07-01,7,1,thin,0,0.0,0,,82faee22,0.0,,0.0,,v2.3.1
b300,2026-07-02,7,2,thin,0,0.0,0,,1b3c1fde,0.0,,0.0,,v2.3.1
b300,2026-07-03,7,3,ok,1,0.3333,0,,a1c75f45,0.0,,0.2222,,v2.3.1
b300,2026-07-04,7,3,ok,1,0.3333,0,,a1c75f45,0.0,,0.25,,v2.3.1
b300,2026-07-05,7,3,ok,1,0.3333,0,,a1c75f45,0.0,,0.2667,,v2.3.1
b300,2026-07-06,7,3,ok,1,0.3333,0,,a1c75f45,0.0,,0.2778,,v2.3.1
b300,2026-07-07,7,3,ok,1,0.3333,0,,a1c75f45,0.0,,0.2857,,v2.3.1
b300,2026-07-08,7,3,ok,1,0.3333,0,,a1c75f45,0.0,,0.2857,,v2.3.1
b300,2026-07-09,7,3,ok,1,0.3333,0,,a1c75f45,0.0,,0.2381,,v2.3.1
b300,2026-07-10,7,3,ok,1,0.3333,0,,a1c75f45,0.0,,0.1905,,v2.3.1
b300,2026-07-11,7,3,ok,1,0.3333,0,,a1c75f45,0.0,,0.1429,,v2.3.1
b300,2026-07-12,7,3,ok,1,0.3333,0,,a1c75f45,0.0,,0.0952,,v2.3.1
b300,2026-07-13,7,3,ok,1,0.3333,0,,a1c75f45,0.0,,0.0476,,v2.3.1
b300,2026-07-14,7,3,ok,1,0.3333,0,,a1c75f45,0.0,,0.0476,,v2.3.1
b300,2026-07-15,7,3,ok,1,0.3333,0,,a1c75f45,0.0,,0.0476,,v2.3.1
b300,2026-07-16,7,3,ok,1,0.3333,0,,a1c75f45,0.0426,,0.0618,,v2.3.1
b300,2026-07-17,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.0577,,v2.3.1
b300,2026-07-18,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.0905,,v2.3.1
b300,2026-07-19,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.0988,,v2.3.1
b300,2026-07-20,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.1113,,v2.3.1
b300,2026-07-21,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.0952,,v2.3.1
b300,2026-07-22,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.1161,,v2.3.1
b300,2026-07-23,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.1613,,v2.3.1
b300,2026-07-24,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.1673,,v2.3.1
b300,2026-07-25,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.1646,,v2.3.1
b300,2026-07-26,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.1854,,v2.3.1
b300,2026-07-27,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.1984,,v2.3.1
b300,2026-07-28,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2101,,v2.3.1
b300,2026-07-29,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2462,,v2.3.1
b300,2026-07-30,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2107,,v2.3.1
b300,2026-07-31,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2143,,v2.3.1
b300,2026-08-01,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2429,,v2.3.1
b300,2026-08-02,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2714,,v2.3.1
b300,2026-08-03,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2714,,v2.3.1
b300,2026-08-04,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2714,,v2.3.1
b300,2026-08-05,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2357,,v2.3.1
b300,2026-08-06,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2672,,v2.3.1
b300,2026-08-07,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2847,,v2.3.1
b300,2026-08-08,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2487,,v2.3.1
b300,2026-08-09,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.245,,v2.3.1
b300,2026-08-10,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2587,,v2.3.1
b300,2026-08-11,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2688,,v2.3.1
b300,2026-08-12,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2788,,v2.3.1
b300,2026-08-13,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2714,,v2.3.1
b300,2026-08-14,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2429,,v2.3.1
b300,2026-08-15,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2643,,v2.3.1
b300,2026-08-16,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2607,,v2.3.1
b300,2026-08-17,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2587,,v2.3.1
b300,2026-08-18,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2338,,v2.3.1
b300,2026-08-19,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.2107,,v2.3.1
b300,2026-08-20,7,5,ok,2,0.4,0,,cb4bf9dc,0.0,,0.1878,,v2.3.1
