chip_slug,as_of_date,window_days,n_sources,confidence,n_available,breadth,n_available_8x,breadth_8x,panel_signature,pct_available_median,pct_available_8x_median,pct_available_mean,pct_available_8x_mean,methodology_version
h200-sxm,2026-08-24,7,16,ok,10,0.625,6,0.5,dd48ae72,0.7961,0.0806,0.5727,0.3765,v2.4.0
h200-sxm,2026-08-25,7,16,ok,10,0.625,6,0.5,dd48ae72,0.8139,0.0806,0.5678,0.37,v2.4.0
h200-sxm,2026-08-26,7,16,ok,10,0.625,6,0.5,dd48ae72,0.7528,0.0658,0.5603,0.3676,v2.4.0
h200-sxm,2026-08-27,7,16,ok,10,0.625,6,0.5,dd48ae72,0.7171,0.0658,0.5578,0.3537,v2.4.0
h200-sxm,2026-08-28,7,16,ok,10,0.625,6,0.5,dd48ae72,0.6457,0.0645,0.5417,0.3321,v2.4.0
h200-sxm,2026-08-29,7,16,ok,10,0.625,5,0.4167,dd48ae72,0.5098,0.0,0.5234,0.3077,v2.4.0
h200-sxm,2026-08-30,7,16,ok,10,0.625,5,0.4167,dd48ae72,0.4384,0.0,0.5106,0.2905,v2.4.0
h200-sxm,2026-08-31,7,16,ok,11,0.6875,6,0.5,dd48ae72,0.4349,0.0612,0.5126,0.2789,v2.4.0
h200-sxm,2026-09-01,7,16,ok,11,0.6875,6,0.5,dd48ae72,0.4768,0.0842,0.5121,0.2592,v2.4.0
h200-sxm,2026-09-02,7,15,ok,9,0.6,5,0.4167,2bb223ae,0.2857,0.0513,0.4778,0.2364,v2.4.0
h200-sxm,2026-09-03,7,15,ok,10,0.6667,6,0.5,2bb223ae,0.2264,0.0785,0.473,0.2436,v2.4.0
h200-sxm,2026-09-04,7,15,ok,10,0.6667,6,0.5,2bb223ae,0.2857,0.075,0.4781,0.2417,v2.4.0
h200-sxm,2026-09-05,7,16,ok,11,0.6875,6,0.5,dd48ae72,0.6161,0.075,0.5181,0.2253,v2.4.0
h200-sxm,2026-09-06,7,16,ok,11,0.6875,6,0.5,dd48ae72,0.6429,0.0661,0.5169,0.2164,v2.4.0
h200-sxm,2026-09-07,7,16,ok,10,0.625,5,0.4167,dd48ae72,0.6964,0.0214,0.5281,0.2253,v2.4.0
h200-sxm,2026-09-08,7,16,ok,10,0.625,5,0.4167,dd48ae72,0.651,0.0,0.5165,0.2159,v2.4.0
h200-sxm,2026-09-09,7,16,ok,10,0.625,5,0.4167,dd48ae72,0.6667,0.0,0.5146,0.2097,v2.4.0
h200-sxm,2026-09-10,7,16,ok,10,0.625,5,0.4167,dd48ae72,0.6841,0.0,0.5126,0.2006,v2.4.0
h200-sxm,2026-09-11,7,16,ok,10,0.625,5,0.4167,dd48ae72,0.7395,0.0181,0.5165,0.1947,v2.4.0
h200-sxm,2026-09-12,7,16,ok,9,0.5625,5,0.4167,dd48ae72,0.756,0.0444,0.5188,0.202,v2.4.0
h200-sxm,2026-09-13,7,16,ok,9,0.5625,5,0.4167,dd48ae72,0.7421,0.025,0.5198,0.1995,v2.4.0
h200-sxm,2026-09-14,7,16,ok,9,0.5625,5,0.4167,dd48ae72,0.7599,0.0,0.5197,0.1965,v2.4.0
h200-sxm,2026-09-15,7,16,ok,9,0.5625,5,0.4167,dd48ae72,0.8274,0.0,0.5294,0.2136,v2.4.0
h200-sxm,2026-09-16,7,16,ok,9,0.5625,5,0.4167,dd48ae72,0.8095,0.0,0.5275,0.2176,v2.4.0
h200-sxm,2026-09-17,7,17,ok,10,0.5882,5,0.4167,31cec06b,0.9062,0.0179,0.5619,0.2264,v2.4.0
h200-sxm,2026-09-18,7,17,ok,11,0.6471,6,0.5,31cec06b,0.9062,0.0536,0.568,0.244,v2.4.0
h200-sxm,2026-09-19,7,17,ok,11,0.6471,5,0.4167,31cec06b,0.9479,0.0462,0.5705,0.2427,v2.4.0
h200-sxm,2026-09-20,7,17,ok,11,0.6471,6,0.5,31cec06b,0.9496,0.0536,0.569,0.2537,v2.4.0
h200-sxm,2026-09-21,7,17,ok,11,0.6471,6,0.5,31cec06b,0.9412,0.0536,0.5623,0.2604,v2.4.0
h200-sxm,2026-09-22,7,17,ok,11,0.6471,6,0.5,31cec06b,0.9493,0.0542,0.5625,0.2521,v2.4.0
