as_of_date,collected_at,collection_window_id,shade_instance_type,cloud_instance_type,cloud,cloud_display,chip_slug,gpu_type,interconnect,nvlink,num_gpus,vram_per_gpu_in_gb,gpu_manufacturer,vcpus,memory_in_gb,storage_in_gb,hourly_price_dollars,per_gpu_dph,deployment_type,boot_min_seconds,boot_max_seconds,region,region_display,available
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80Gx4,gpu_4x_a100,massedcompute,Massed Compute,a100-pcie-80gb,A100_80G,pcie,False,4,80,nvidia,54,256,1024,5.12,1.28,vm,480,600,desmoines-usa-1,"US, Des Moines, IA",False
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80Gx2,gpu_2x_a100,massedcompute,Massed Compute,a100-pcie-80gb,A100_80G,pcie,False,2,80,nvidia,30,128,512,2.56,1.28,vm,240,360,wichita-usa-1,"US, Wichita, KS",False
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80Gx2,gpu_2x_a100,massedcompute,Massed Compute,a100-pcie-80gb,A100_80G,pcie,False,2,80,nvidia,30,128,512,2.56,1.28,vm,240,360,desmoines-usa-1,"US, Des Moines, IA",True
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80Gx8,gpu_8x_a100,massedcompute,Massed Compute,a100-pcie-80gb,A100_80G,pcie,False,8,80,nvidia,110,512,2560,10.24,1.28,vm,1260,1440,kansascity-usa-1,"US, Kansas City, KS",False
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80Gx8,gpu_8x_a100,massedcompute,Massed Compute,a100-pcie-80gb,A100_80G,pcie,False,8,80,nvidia,110,512,2560,10.24,1.28,vm,1260,1440,desmoines-usa-3,"US, Des Moines, IA",False
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80Gx8,gpu_8x_a100,massedcompute,Massed Compute,a100-pcie-80gb,A100_80G,pcie,False,8,80,nvidia,110,512,2560,10.24,1.28,vm,1260,1440,desmoines-usa-1,"US, Des Moines, IA",False
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80Gx8,gpu_8x_a100,massedcompute,Massed Compute,a100-pcie-80gb,A100_80G,pcie,False,8,80,nvidia,110,512,2560,10.24,1.28,vm,1260,1440,wichita-usa-1,"US, Wichita, KS",False
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80G,gpu_1x_a100,massedcompute,Massed Compute,a100-pcie-80gb,A100_80G,pcie,False,1,80,nvidia,12,64,256,1.28,1.28,vm,60,240,wichita-usa-1,"US, Wichita, KS",False
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80G,gpu_1x_a100,massedcompute,Massed Compute,a100-pcie-80gb,A100_80G,pcie,False,1,80,nvidia,12,64,256,1.28,1.28,vm,60,240,desmoines-usa-1,"US, Des Moines, IA",False
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80G,gpu_1x_a100,massedcompute,Massed Compute,a100-pcie-80gb,A100_80G,pcie,False,1,80,nvidia,12,64,256,1.28,1.28,vm,60,240,kansascity-usa-1,"US, Kansas City, KS",False
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80Gx4,gpu_4x_a100,massedcompute,Massed Compute,a100-pcie-80gb,A100_80G,pcie,False,4,80,nvidia,54,256,1024,5.12,1.28,vm,480,600,wichita-usa-1,"US, Wichita, KS",False
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80Gx4,gpu_4x_a100,massedcompute,Massed Compute,a100-pcie-80gb,A100_80G,pcie,False,4,80,nvidia,54,256,1024,5.12,1.28,vm,480,600,desmoines-usa-3,"US, Des Moines, IA",False
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80Gx4,gpu_4x_a100,massedcompute,Massed Compute,a100-pcie-80gb,A100_80G,pcie,False,4,80,nvidia,54,256,1024,5.12,1.28,vm,480,600,kansascity-usa-1,"US, Kansas City, KS",False
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80Gx2,gpu_2x_a100,massedcompute,Massed Compute,a100-pcie-80gb,A100_80G,pcie,False,2,80,nvidia,30,128,512,2.56,1.28,vm,240,360,desmoines-usa-3,"US, Des Moines, IA",False
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80Gx2,gpu_2x_a100,massedcompute,Massed Compute,a100-pcie-80gb,A100_80G,pcie,False,2,80,nvidia,30,128,512,2.56,1.28,vm,240,360,kansascity-usa-1,"US, Kansas City, KS",False
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80Gx4,n3-A100x4,hyperstack,Hyperstack,a100-pcie-80gb,A100_80G,pcie,False,4,80,nvidia,124,480,3300,5.4,1.35,vm,180,480,oslo-norway-1,"NO, Oslo",False
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80G,n3-A100x1,hyperstack,Hyperstack,a100-pcie-80gb,A100_80G,pcie,False,1,80,nvidia,28,120,850,1.35,1.35,vm,120,300,montreal-canada-2,"CA, Montreal",True
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80Gx2,n3-A100x2,hyperstack,Hyperstack,a100-pcie-80gb,A100_80G,pcie,False,2,80,nvidia,60,240,1600,2.7,1.35,vm,120,360,montreal-canada-2,"CA, Montreal",False
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,A100_80Gx4,n3-A100x4,hyperstack,Hyperstack,a100-pcie-80gb,A100_80G,pcie,False,4,80,nvidia,124,480,3300,5.4,1.35,vm,180,480,montreal-canada-2,"CA, Montreal",False
