as_of_date,collected_at,collection_window_id,shade_instance_type,cloud_instance_type,cloud,cloud_display,chip_slug,gpu_type,interconnect,nvlink,num_gpus,vram_per_gpu_in_gb,gpu_manufacturer,vcpus,memory_in_gb,storage_in_gb,hourly_price_dollars,per_gpu_dph,deployment_type,boot_min_seconds,boot_max_seconds,region,region_display,available
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80G,gpu_1x_a100_SXM4,massedcompute,Massed Compute,a100-sxm-80gb,A100_80G,sxm4,False,1,80,nvidia,14,100,625,1.24,1.24,vm,60,240,desmoines-usa-3,"US, Des Moines, IA",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80G_DGX,gpu_1x_DGX_A100,massedcompute,Massed Compute,a100-sxm-80gb,A100_80G,sxm4,False,1,80,nvidia,16,160,1000,1.24,1.24,vm,60,240,kansascity-usa-1,"US, Kansas City, KS",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80G_DGX,gpu_1x_DGX_A100,massedcompute,Massed Compute,a100-sxm-80gb,A100_80G,sxm4,False,1,80,nvidia,16,160,1000,1.24,1.24,vm,60,240,beltsville-usa-1,"US, Beltsville, MD",True
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80G_DGX,gpu_1x_DGX_A100,massedcompute,Massed Compute,a100-sxm-80gb,A100_80G,sxm4,False,1,80,nvidia,16,160,1000,1.24,1.24,vm,60,240,desmoines-usa-1,"US, Des Moines, IA",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80G_DGX,gpu_1x_DGX_A100,massedcompute,Massed Compute,a100-sxm-80gb,A100_80G,sxm4,False,1,80,nvidia,16,160,1000,1.24,1.24,vm,60,240,kansascity-usa-5,"US, Kansas City, MO",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80G_DGX,gpu_1x_DGX_A100,massedcompute,Massed Compute,a100-sxm-80gb,A100_80G,sxm4,False,1,80,nvidia,16,160,1000,1.24,1.24,vm,60,240,desmoines-usa-3,"US, Des Moines, IA",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80G,gpu_1x_a100_SXM4,massedcompute,Massed Compute,a100-sxm-80gb,A100_80G,sxm4,False,1,80,nvidia,14,100,625,1.24,1.24,vm,60,240,desmoines-usa-1,"US, Des Moines, IA",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80Gx8,gpu_8x_a100_SXM4,massedcompute,Massed Compute,a100-sxm-80gb,A100_80G,sxm4,False,8,80,nvidia,126,1500,10000,10.24,1.28,vm,360,600,desmoines-usa-1,"US, Des Moines, IA",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80Gx8,gpu_8x_a100_SXM4,massedcompute,Massed Compute,a100-sxm-80gb,A100_80G,sxm4,False,8,80,nvidia,126,1500,10000,10.24,1.28,vm,360,600,desmoines-usa-3,"US, Des Moines, IA",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80G_DGXx8,gpu_8x_DGX_A100,massedcompute,Massed Compute,a100-sxm-80gb,A100_80G,sxm4,True,8,80,nvidia,120,1896,10000,10.24,1.28,vm,180,780,desmoines-usa-1,"US, Des Moines, IA",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80G_DGXx8,gpu_8x_DGX_A100,massedcompute,Massed Compute,a100-sxm-80gb,A100_80G,sxm4,True,8,80,nvidia,120,1896,10000,10.24,1.28,vm,180,780,desmoines-usa-3,"US, Des Moines, IA",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80G_DGXx8,gpu_8x_DGX_A100,massedcompute,Massed Compute,a100-sxm-80gb,A100_80G,sxm4,True,8,80,nvidia,120,1896,10000,10.24,1.28,vm,180,780,kansascity-usa-5,"US, Kansas City, MO",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80G_DGXx8,gpu_8x_DGX_A100,massedcompute,Massed Compute,a100-sxm-80gb,A100_80G,sxm4,True,8,80,nvidia,120,1896,10000,10.24,1.28,vm,180,780,kansascity-usa-1,"US, Kansas City, KS",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80G_DGXx8,gpu_8x_DGX_A100,massedcompute,Massed Compute,a100-sxm-80gb,A100_80G,sxm4,True,8,80,nvidia,120,1896,10000,10.24,1.28,vm,180,780,beltsville-usa-1,"US, Beltsville, MD",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80Gx8,A100_80GB_SXM_8x,denvr,Denvr,a100-sxm-80gb,A100_80G,sxm4,True,8,80,nvidia,200,940,17000,11.2,1.4,vm,540,960,houston-usa-1,"US, Houston, TX",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80G,A100_80GB_SXM_1x,denvr,Denvr,a100-sxm-80gb,A100_80G,sxm4,False,1,80,nvidia,24,116,2125,1.4,1.4,vm,180,540,houston-usa-1,"US, Houston, TX",True
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80Gx8,gpu_8x_a100_80gb_sxm4,excesssupply,Excess Supply?,a100-sxm-80gb,A100_80G,sxm4,True,8,80,nvidia,240,1800,20480,13.11,1.63875,vm,480,2280,chicago-usa-3,"US, Chicago, IL",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,A100_sxm4_80Gx8,gpu_8x_a100_80gb_sxm4,excesssupply,Excess Supply?,a100-sxm-80gb,A100_80G,sxm4,True,8,80,nvidia,240,1800,20480,13.11,1.63875,vm,480,2280,sydney-australia-3,"AU, Sydney",False
