as_of_date,collected_at,collection_window_id,shade_instance_type,cloud_instance_type,cloud,cloud_display,chip_slug,gpu_type,interconnect,nvlink,num_gpus,vram_per_gpu_in_gb,gpu_manufacturer,vcpus,memory_in_gb,storage_in_gb,hourly_price_dollars,per_gpu_dph,deployment_type,boot_min_seconds,boot_max_seconds,region,region_display,available
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,H200x4,4H200.141S.176V,verda,Verda,h200-sxm,H200,sxm5,True,4,141,nvidia,176,740,3000,7.6,1.9,vm,120,240,helsinki-finland-2,"FI, Central",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,H200x4,4H200.141S.176V,verda,Verda,h200-sxm,H200,sxm5,True,4,141,nvidia,176,740,3000,7.6,1.9,vm,120,240,helsinki-finland-5,"FI, Central",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,H200_sxm5x8_NVLINK_es,H200x8_es,excesssupply,Excess Supply?,h200-sxm,H200,sxm5,True,8,141,nvidia,96,2048,30720,18.0,2.25,baremetal,60,180,dallas-usa-6,"US, Dallas, TX",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,H200_sxm5x8_NVLINK_es,H200x8_es,excesssupply,Excess Supply?,h200-sxm,H200,sxm5,True,8,141,nvidia,96,2048,30720,18.0,2.25,baremetal,60,180,raleigh-usa-2,"US, Raleigh, NC",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,H200_sxm5x8_NVLINK,H200_sxm5x8_NVLINK,amaya,Amaya?,h200-sxm,H200,sxm5,True,8,141,nvidia,480,2048,30000,18.0,2.25,baremetal,60,180,dowagiac-usa-1,"US, Dowagiac, MI",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,H200_sxm5,gpu-h200-sxm|1gpu-16vcpu-200gb,excesssupply,Excess Supply?,h200-sxm,H200,sxm5,False,1,141,nvidia,16,200,465,2.45,2.45,vm,60,180,kansascity-usa-4,"US, Kansas City, MO",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,H200_sxm5x8_NVLINK,H200x8,boostrun,BoostRun?,h200-sxm,H200,sxm5,True,8,141,nvidia,96,2048,30720,19.6,2.45,baremetal,60,180,dallas-usa-4,"US, Dallas, TX",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,H200_sxm5x8_NVLINK,H200x8,boostrun,BoostRun?,h200-sxm,H200,sxm5,True,8,141,nvidia,96,2048,30720,19.6,2.45,baremetal,60,180,raleigh-usa-1,"US, Raleigh, NC",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,H200_sxm5,gpu-h200-sxm|1gpu-16vcpu-200gb,excesssupply,Excess Supply?,h200-sxm,H200,sxm5,False,1,141,nvidia,16,200,465,2.45,2.45,vm,60,180,helsinki-finland-4,"FI, Helsinki",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,H200_sxm5,gpu-h200-sxm|1gpu-16vcpu-200gb,excesssupply,Excess Supply?,h200-sxm,H200,sxm5,False,1,141,nvidia,16,200,465,2.45,2.45,vm,60,180,paris-france-3,"FR, Paris",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,H200_sxm5x8_NVLINK,gpu-h200-sxm|8gpu-128vcpu-1600gb,excesssupply,Excess Supply?,h200-sxm,H200,sxm5,True,8,141,nvidia,128,1600,6000,19.86,2.4825,vm,180,420,helsinki-finland-4,"FI, Helsinki",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,H200_sxm5x8_NVLINK,gpu-h200-sxm|8gpu-128vcpu-1600gb,excesssupply,Excess Supply?,h200-sxm,H200,sxm5,True,8,141,nvidia,128,1600,6000,19.86,2.4825,vm,180,420,paris-france-3,"FR, Paris",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,H200_sxm5x8_NVLINK,gpu-h200-sxm|8gpu-128vcpu-1600gb,excesssupply,Excess Supply?,h200-sxm,H200,sxm5,True,8,141,nvidia,128,1600,6000,19.86,2.4825,vm,180,420,kansascity-usa-4,"US, Kansas City, MO",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,H200x8,H200-8,horizon,Horizon?,h200-sxm,H200,sxm5,False,8,141,nvidia,160,1536,17000,24.0,3.0,vm,780,1380,blonduos-iceland-3,"IS, Blonduos 3",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,H200_sxm5_eu,gpu-h200-sxm|1gpu-16vcpu-200gb,excesssupply,Excess Supply?,h200-sxm,H200,sxm5,False,1,141,nvidia,16,200,465,3.25,3.25,vm,60,300,paris-france-3,"FR, Paris",False
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,H200_sxm5_eu,gpu-h200-sxm|1gpu-16vcpu-200gb,excesssupply,Excess Supply?,h200-sxm,H200,sxm5,False,1,141,nvidia,16,200,465,3.25,3.25,vm,60,300,kansascity-usa-4,"US, Kansas City, MO",False
