as_of_date,collected_at,collection_window_id,shade_instance_type,cloud_instance_type,cloud,cloud_display,chip_slug,gpu_type,interconnect,nvlink,num_gpus,vram_per_gpu_in_gb,gpu_manufacturer,vcpus,memory_in_gb,storage_in_gb,hourly_price_dollars,per_gpu_dph,deployment_type,boot_min_seconds,boot_max_seconds,region,region_display,available
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx8,L40Sx8,boostrun,BoostRun?,l40s,L40S,pcie,False,8,48,nvidia,64,1536,30720,5.52,0.69,baremetal,60,420,dallas-usa-4,"US, Dallas, TX",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx8,L40Sx8,boostrun,BoostRun?,l40s,L40S,pcie,False,8,48,nvidia,64,1536,30720,5.52,0.69,baremetal,60,420,raleigh-usa-1,"US, Raleigh, NC",True
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40s_vm,vm.l40s.small,latitude,Latitude,l40s,L40S,pcie,False,1,48,nvidia,16,128,500,0.74,0.74,vm,120,480,ashburn-usa-7,"US, Ashburn, VA",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40s_vm,vm.l40s.small,latitude,Latitude,l40s,L40S,pcie,False,1,48,nvidia,16,128,500,0.74,0.74,vm,120,480,dallas-usa-1,"US, Dallas, TX",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40s_vm,vm.l40s.small,latitude,Latitude,l40s,L40S,pcie,False,1,48,nvidia,16,128,500,0.74,0.74,vm,120,480,frankfurt-germany-5,"DE, Frankfurt",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx8,g3-l40s-large,latitude,Latitude,l40s,L40S,pcie,False,8,48,nvidia,128,1536,15200,6.97,0.87125,baremetal,60,600,frankfurt-germany-5,"DE, Frankfurt",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx8,g3-l40s-large,latitude,Latitude,l40s,L40S,pcie,False,8,48,nvidia,128,1536,15200,6.97,0.87125,baremetal,60,600,dallas-usa-1,"US, Dallas, TX",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx4,gpu_4x_l40s,massedcompute,Massed Compute,l40s,L40S,pcie,False,4,48,nvidia,88,512,2500,3.52,0.88,vm,120,360,desmoines-usa-3,"US, Des Moines, IA",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx2,gpu_2x_l40s,massedcompute,Massed Compute,l40s,L40S,pcie,False,2,48,nvidia,44,256,1250,1.76,0.88,vm,60,300,desmoines-usa-1,"US, Des Moines, IA",True
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx2,gpu_2x_l40s,massedcompute,Massed Compute,l40s,L40S,pcie,False,2,48,nvidia,44,256,1250,1.76,0.88,vm,60,300,desmoines-usa-3,"US, Des Moines, IA",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx2,gpu_2x_l40s,massedcompute,Massed Compute,l40s,L40S,pcie,False,2,48,nvidia,44,256,1250,1.76,0.88,vm,60,300,kansascity-usa-5,"US, Kansas City, MO",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx2,gpu_2x_l40s,massedcompute,Massed Compute,l40s,L40S,pcie,False,2,48,nvidia,44,256,1250,1.76,0.88,vm,60,300,kansascity-usa-1,"US, Kansas City, KS",True
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx8,gpu_8x_l40s,massedcompute,Massed Compute,l40s,L40S,pcie,False,8,48,nvidia,142,768,5000,7.04,0.88,vm,180,720,kansascity-usa-1,"US, Kansas City, KS",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx8,gpu_8x_l40s,massedcompute,Massed Compute,l40s,L40S,pcie,False,8,48,nvidia,142,768,5000,7.04,0.88,vm,180,720,kansascity-usa-5,"US, Kansas City, MO",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx8,gpu_8x_l40s,massedcompute,Massed Compute,l40s,L40S,pcie,False,8,48,nvidia,142,768,5000,7.04,0.88,vm,180,720,desmoines-usa-3,"US, Des Moines, IA",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx8,gpu_8x_l40s,massedcompute,Massed Compute,l40s,L40S,pcie,False,8,48,nvidia,142,768,5000,7.04,0.88,vm,180,720,desmoines-usa-1,"US, Des Moines, IA",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40S,gpu_1x_l40s,massedcompute,Massed Compute,l40s,L40S,pcie,False,1,48,nvidia,22,128,625,0.88,0.88,vm,60,240,kansascity-usa-1,"US, Kansas City, KS",True
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40S,gpu_1x_l40s,massedcompute,Massed Compute,l40s,L40S,pcie,False,1,48,nvidia,22,128,625,0.88,0.88,vm,60,240,desmoines-usa-1,"US, Des Moines, IA",True
