as_of_date,collected_at,collection_window_id,shade_instance_type,cloud_instance_type,cloud,cloud_display,chip_slug,gpu_type,interconnect,nvlink,num_gpus,vram_per_gpu_in_gb,gpu_manufacturer,vcpus,memory_in_gb,storage_in_gb,hourly_price_dollars,per_gpu_dph,deployment_type,boot_min_seconds,boot_max_seconds,region,region_display,available
2026-05-04,2026-05-05 03:45:29.977541,2026-05-04-1800,RTXPro6000x8,RTXPro6000x8,boostrun,BoostRun?,rtx-pro-6000,RTXPro6000,pcie,False,8,96,nvidia,128,1536,30720,7.92,0.99,baremetal,60,180,charlotte-usa-1,"US, Charlotte, NC",False
2026-05-04,2026-05-05 03:45:29.977541,2026-05-04-1800,RTXPro6000,gpu_1x_pro_6000_blackwell,imwt,IMWT?,rtx-pro-6000,RTXPro6000,pcie,False,1,96,nvidia,16,144,725,1.25,1.25,vm,120,300,omaha-usa-1,"US, Omaha, NE",False
2026-05-04,2026-05-05 03:45:29.977541,2026-05-04-1800,RTXPro6000x2,gpu_2x_pro_6000_blackwell,imwt,IMWT?,rtx-pro-6000,RTXPro6000,pcie,False,2,96,nvidia,30,288,1450,2.5,1.25,vm,120,300,beltsville-usa-1,"US, Beltsville, MD",False
2026-05-04,2026-05-05 03:45:29.977541,2026-05-04-1800,RTXPro6000x8,gpu_8x_pro_6000_blackwell,imwt,IMWT?,rtx-pro-6000,RTXPro6000,pcie,False,8,96,nvidia,120,1536,5800,10.0,1.25,vm,120,300,beltsville-usa-1,"US, Beltsville, MD",False
2026-05-04,2026-05-05 03:45:29.977541,2026-05-04-1800,RTXPro6000x2,gpu_2x_pro_6000_blackwell,imwt,IMWT?,rtx-pro-6000,RTXPro6000,pcie,False,2,96,nvidia,30,288,1450,2.5,1.25,vm,120,300,omaha-usa-1,"US, Omaha, NE",False
2026-05-04,2026-05-05 03:45:29.977541,2026-05-04-1800,RTXPro6000x4,gpu_4x_pro_6000_blackwell,imwt,IMWT?,rtx-pro-6000,RTXPro6000,pcie,False,4,96,nvidia,60,576,2900,5.0,1.25,vm,120,300,beltsville-usa-1,"US, Beltsville, MD",False
2026-05-04,2026-05-05 03:45:29.977541,2026-05-04-1800,RTXPro6000x4,gpu_4x_pro_6000_blackwell,imwt,IMWT?,rtx-pro-6000,RTXPro6000,pcie,False,4,96,nvidia,60,576,2900,5.0,1.25,vm,120,300,omaha-usa-1,"US, Omaha, NE",False
2026-05-04,2026-05-05 03:45:29.977541,2026-05-04-1800,RTXPro6000x8,gpu_8x_pro_6000_blackwell,imwt,IMWT?,rtx-pro-6000,RTXPro6000,pcie,False,8,96,nvidia,120,1536,5800,10.0,1.25,vm,120,300,omaha-usa-1,"US, Omaha, NE",False
2026-05-04,2026-05-05 03:45:29.977541,2026-05-04-1800,RTXPro6000,gpu_1x_pro_6000_blackwell,imwt,IMWT?,rtx-pro-6000,RTXPro6000,pcie,False,1,96,nvidia,16,144,725,1.25,1.25,vm,120,300,beltsville-usa-1,"US, Beltsville, MD",False
2026-05-04,2026-05-05 03:45:29.977541,2026-05-04-1800,RTXPro6000x8_es,RTXPro6000x8_es,excesssupply,Excess Supply?,rtx-pro-6000,RTXPro6000,pcie,False,8,96,nvidia,128,1536,30720,10.8,1.35,baremetal,60,120,charlotte-usa-2,"US, Charlotte, NC",False
