as_of_date,source_name,silicon_id,gpu_model,gpu_variant,form_factor,interconnect_substrate,commitment_term,interruptibility,deployment_class,region,region_country,factory_type,tier_v3,operator_tier,price_usd_per_hour,bundled,bundled_inclusions,availability_state,methodology_version,source_status,region_raw
2026-08-20,aws,b200-sxm-180gb,B200,180GB,SXM,EFA,OnDemand,NonInterruptible,OnDemand,APAC,APAC,HIF,T1IF,T1,20.0807,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,ap-south-1
2026-08-20,aws,b200-sxm-180gb,B200,180GB,SXM,EFA,OnDemand,NonInterruptible,OnDemand,US-East,US,HIF,T1IF,T1,14.2416,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,us-east-1
2026-08-20,aws,b200-sxm-180gb,B200,180GB,SXM,EFA,OnDemand,NonInterruptible,OnDemand,US-East,US,HIF,T1IF,T1,14.2416,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,us-east-2
2026-08-20,aws,b200-sxm-180gb,B200,180GB,SXM,EFA,OnDemand,NonInterruptible,OnDemand,US-West,US,HIF,T1IF,T1,14.2416,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,us-west-2
2026-08-20,aws,b200-sxm-180gb,B200,180GB,SXM,EFA,3Y,NonInterruptible,Reserved,US-East,US,HIF,T1IF,T1,6.1524,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,us-east-1
2026-08-20,aws,b200-sxm-180gb,B200,180GB,SXM,EFA,3Y,NonInterruptible,Reserved,US-East,US,HIF,T1IF,T1,6.1524,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,us-east-2
2026-08-20,aws,b200-sxm-180gb,B200,180GB,SXM,EFA,3Y,NonInterruptible,Reserved,US-West,US,HIF,T1IF,T1,6.1524,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,us-west-2
2026-08-20,aws,b200-sxm-180gb,B200,180GB,SXM,EFA,OnDemand,Interruptible,Spot,APAC,APAC,DIF,T2IF,T1,6.6230,False,,Available,v2.4.0,panel,ap-south-1c
2026-08-20,aws,b200-sxm-180gb,B200,180GB,SXM,EFA,OnDemand,Interruptible,Spot,US-East,US,DIF,T2IF,T1,5.2375,False,,Available,v2.4.0,panel,us-east-1d
2026-08-20,aws,b200-sxm-180gb,B200,180GB,SXM,EFA,OnDemand,Interruptible,Spot,US-East,US,DIF,T2IF,T1,5.2736,False,,Available,v2.4.0,panel,us-east-2a
2026-08-20,aws,b200-sxm-180gb,B200,180GB,SXM,EFA,OnDemand,Interruptible,Spot,US-East,US,DIF,T2IF,T1,5.2442,False,,Available,v2.4.0,panel,us-east-2b
2026-08-20,aws,b200-sxm-180gb,B200,180GB,SXM,EFA,OnDemand,Interruptible,Spot,US-East,US,DIF,T2IF,T1,5.2037,False,,Available,v2.4.0,panel,us-east-2c
2026-08-20,aws,b200-sxm-180gb,B200,180GB,SXM,EFA,OnDemand,Interruptible,Spot,US-West,US,DIF,T2IF,T1,5.2188,False,,Available,v2.4.0,panel,us-west-2a
2026-08-20,aws,b200-sxm-180gb,B200,180GB,SXM,EFA,OnDemand,Interruptible,Spot,US-West,US,DIF,T2IF,T1,5.2384,False,,Available,v2.4.0,panel,us-west-2b
2026-08-20,aws,b200-sxm-180gb,B200,180GB,SXM,EFA,OnDemand,Interruptible,Spot,US-West,US,DIF,T2IF,T1,5.1658,False,,Available,v2.4.0,panel,us-west-2d
2026-08-20,aws_capacity_blocks,b200-sxm-180gb,B200,180GB,SXM,EFA,CapacityBlock,NonInterruptible,Reserved,Other,Other,HIF,T2IF,T1,12.3550,False,,Available,v2.4.0,term-panel,non-us
2026-08-20,aws_capacity_blocks,b200-sxm-180gb,B200,180GB,SXM,EFA,CapacityBlock,NonInterruptible,Reserved,US-East,US,HIF,T2IF,T1,12.3550,False,,Available,v2.4.0,term-panel,us-east-1
2026-08-20,civo,b200-sxm-180gb,B200,180GB,SXM,Unknown,1Y,NonInterruptible,Reserved,Other,Other,SIF,T2IF,T2,4.4900,False,,Available,v2.4.0,panel,
2026-08-20,civo,b200-sxm-180gb,B200,180GB,SXM,Unknown,2Y,NonInterruptible,Reserved,Other,Other,SIF,T2IF,T2,3.9900,False,,Available,v2.4.0,panel,
2026-08-20,civo,b200-sxm-180gb,B200,180GB,SXM,Unknown,3Y,NonInterruptible,Reserved,Other,Other,SIF,T2IF,T2,3.7900,False,,Available,v2.4.0,panel,
2026-08-20,cloudrift,b200-sxm-180gb,B200,180GB,SXM,,1M,NonInterruptible,Reserved,US-East,US,SIF,T2IF,T2,3.6000,False,,Available,v2.4.0,term-panel,US
2026-08-20,cloudrift,b200-sxm-180gb,B200,180GB,SXM,,3M,NonInterruptible,Reserved,US-East,US,SIF,T2IF,T2,3.2400,False,,Available,v2.4.0,term-panel,US
2026-08-20,coreweave,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,OnDemand,NonInterruptible,OnDemand,EU,EU,IIF,T1IF,T2,8.6000,True,local-nvme;free-egress;support-tier;observability;managed-ops-plane,Available,v2.4.0,panel,EU
2026-08-20,coreweave,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,OnDemand,NonInterruptible,OnDemand,US-East,US,IIF,T1IF,T2,8.6000,True,local-nvme;free-egress;support-tier;observability;managed-ops-plane,Available,v2.4.0,panel,US
2026-08-20,coreweave,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,OnDemand,Interruptible,Spot,EU,EU,DIF,T1IF,T2,4.3588,True,local-nvme;free-egress;support-tier;observability;managed-ops-plane,Available,v2.4.0,panel,EU
2026-08-20,coreweave,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,OnDemand,Interruptible,Spot,US-East,US,DIF,T1IF,T2,4.2638,True,local-nvme;free-egress;support-tier;observability;managed-ops-plane,Available,v2.4.0,panel,US
2026-08-20,datacrunch,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,OnDemand,NonInterruptible,OnDemand,EU,EU,SIF,T2IF,T2,6.1100,True,local-nvme,Available,v2.4.0,panel,EU-FI
2026-08-20,datacrunch,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,1M,NonInterruptible,Reserved,EU,EU,SIF,T2IF,T2,5.9878,True,local-nvme,Available,v2.4.0,panel,EU-FI
2026-08-20,datacrunch,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,1Y,NonInterruptible,Reserved,EU,EU,SIF,T2IF,T2,5.6212,True,local-nvme,Available,v2.4.0,panel,EU-FI
2026-08-20,datacrunch,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,2Y,NonInterruptible,Reserved,EU,EU,SIF,T2IF,T2,4.5825,True,local-nvme,Available,v2.4.0,panel,EU-FI
2026-08-20,datacrunch,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,3M,NonInterruptible,Reserved,EU,EU,SIF,T2IF,T2,5.9267,True,local-nvme,Available,v2.4.0,panel,EU-FI
2026-08-20,datacrunch,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,6M,NonInterruptible,Reserved,EU,EU,SIF,T2IF,T2,5.8656,True,local-nvme,Available,v2.4.0,panel,EU-FI
2026-08-20,datacrunch,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,OnDemand,Interruptible,Spot,EU,EU,DIF,T2IF,T2,3.0550,True,local-nvme,Available,v2.4.0,panel,EU-FI
2026-08-20,deepinfra_gpu,b200-sxm-180gb,B200,180GB,SXM,,OnDemand,NonInterruptible,OnDemand,Other,Other,SIF,T2IF,T2,3.6900,False,,Available,v2.4.0,panel,undisclosed
2026-08-20,e2e,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,OnDemand,NonInterruptible,OnDemand,APAC,APAC,IIF,T2IF,T2,6.9900,False,,Available,v2.4.0,panel,India
2026-08-20,e2e,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,1M,NonInterruptible,Reserved,APAC,APAC,IIF,T2IF,T2,6.9211,False,,Available,v2.4.0,panel,India
2026-08-20,e2e,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,1Y,NonInterruptible,Reserved,APAC,APAC,IIF,T2IF,T2,6.2888,False,,Available,v2.4.0,panel,India
2026-08-20,gcp,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,OnDemand,NonInterruptible,OnDemand,APAC,APAC,HIF,T1IF,T1,19.3320,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,asia-southeast1
2026-08-20,gcp,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,OnDemand,NonInterruptible,OnDemand,EU,EU,HIF,T1IF,T1,17.7210,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,europe-west4
2026-08-20,gcp,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,OnDemand,NonInterruptible,OnDemand,US-Central,US,HIF,T1IF,T1,16.1100,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,us-central1
