as_of_date,source_name,silicon_id,gpu_model,gpu_variant,form_factor,interconnect_substrate,commitment_term,interruptibility,deployment_class,region,region_country,factory_type,tier_v3,operator_tier,price_usd_per_hour,bundled,bundled_inclusions,availability_state,methodology_version,source_status,region_raw
2026-08-26,aws_capacity_blocks,gb200-nvl-nvl,GB200,NVL,NVL-Rack,EFA,CapacityBlock,NonInterruptible,Reserved,US-East,US,HIF,T2IF,T1,10.5820,False,,Available,v2.4.0,term-panel,us-east-1
2026-08-26,azure,gb200-nvl-nvl,GB200,NVL,NVL-Rack,IB-NDR,OnDemand,NonInterruptible,OnDemand,APAC,APAC,HIF,T1IF,T1,19.6050,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,australiaeast
2026-08-26,azure,gb200-nvl-nvl,GB200,NVL,NVL-Rack,IB-NDR,OnDemand,NonInterruptible,OnDemand,APAC,APAC,HIF,T1IF,T1,18.9300,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,australiasoutheast
2026-08-26,azure,gb200-nvl-nvl,GB200,NVL,NVL-Rack,IB-NDR,OnDemand,NonInterruptible,OnDemand,Other,Other,HIF,T1IF,T1,27.0400,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,brazilsouth
2026-08-26,azure,gb200-nvl-nvl,GB200,NVL,NVL-Rack,IB-NDR,OnDemand,NonInterruptible,OnDemand,Other,Other,HIF,T1IF,T1,16.2250,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,canadaeast
2026-08-26,azure,gb200-nvl-nvl,GB200,NVL,NVL-Rack,IB-NDR,OnDemand,NonInterruptible,OnDemand,US-Central,US,HIF,T1IF,T1,16.6296,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,centralus
2026-08-26,azure,gb200-nvl-nvl,GB200,NVL,NVL-Rack,IB-NDR,OnDemand,NonInterruptible,OnDemand,US-East,US,HIF,T1IF,T1,13.5200,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,eastus
2026-08-26,azure,gb200-nvl-nvl,GB200,NVL,NVL-Rack,IB-NDR,OnDemand,NonInterruptible,OnDemand,US-East,US,HIF,T1IF,T1,13.5200,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,eastus2
2026-08-26,azure,gb200-nvl-nvl,GB200,NVL,NVL-Rack,IB-NDR,OnDemand,NonInterruptible,OnDemand,EU,EU,HIF,T1IF,T1,17.5750,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,germanywestcentral
2026-08-26,azure,gb200-nvl-nvl,GB200,NVL,NVL-Rack,IB-NDR,OnDemand,NonInterruptible,OnDemand,APAC,APAC,HIF,T1IF,T1,15.8175,True,local-nvme;managed-ops-plane;support-tier;observability,Available,v2.4.0,panel,indonesiacentral
