as_of_date,collected_at,collection_window_id,source_name,source_display_name,silicon_id,gpu_model,form_factor,commitment_term,interruptibility,region,cheapest_usd_hour,median_usd_hour,n_listings,methodology_version
2026-08-28,2026-08-28T09:06:02.686632+00:00,2026-08-27-1800,vast_ai_verified,Vast.ai (verified),b200-sxm-180gb,B200,SXM,OnDemand,NonInterruptible,Other,6.0000,6.0000,1,v2.3.2
2026-08-28,2026-08-28T09:06:08.606032+00:00,2026-08-27-1800,runpod_community,RunPod · Community,b200-sxm-180gb,B200,SXM,OnDemand,NonInterruptible,Other,5.9800,,,v2.3.2
2026-08-28,2026-08-28T09:06:08.606032+00:00,2026-08-27-1800,runpod_secure,RunPod · Secure,b200-sxm-180gb,B200,SXM,1Y,NonInterruptible,Other,6.7900,,,v2.3.2
2026-08-28,2026-08-28T09:06:08.606032+00:00,2026-08-27-1800,runpod_secure,RunPod · Secure,b200-sxm-180gb,B200,SXM,3M,NonInterruptible,Other,6.7900,,,v2.3.2
2026-08-28,2026-08-28T09:06:08.606032+00:00,2026-08-27-1800,runpod_secure,RunPod · Secure,b200-sxm-180gb,B200,SXM,6M,NonInterruptible,Other,6.7900,,,v2.3.2
2026-08-28,2026-08-28T09:06:08.606032+00:00,2026-08-27-1800,runpod_secure,RunPod · Secure,b200-sxm-180gb,B200,SXM,OnDemand,NonInterruptible,Other,6.7900,,,v2.3.2
2026-08-28,2026-08-28T16:02:58.233552+00:00,2026-08-28-1000,runpod_community,RunPod · Community,b200-sxm-180gb,B200,SXM,OnDemand,NonInterruptible,Other,5.9800,,,v2.3.2
2026-08-28,2026-08-28T16:02:58.233552+00:00,2026-08-28-1000,runpod_secure,RunPod · Secure,b200-sxm-180gb,B200,SXM,1Y,NonInterruptible,Other,6.7900,,,v2.3.2
2026-08-28,2026-08-28T16:02:58.233552+00:00,2026-08-28-1000,runpod_secure,RunPod · Secure,b200-sxm-180gb,B200,SXM,3M,NonInterruptible,Other,6.7900,,,v2.3.2
2026-08-28,2026-08-28T16:02:58.233552+00:00,2026-08-28-1000,runpod_secure,RunPod · Secure,b200-sxm-180gb,B200,SXM,6M,NonInterruptible,Other,6.7900,,,v2.3.2
