as_of_date,collected_at,collection_window_id,chip_slug,n_total_sku_region,n_available_now,pct_available,n_providers_carrying,n_providers_with_any_availability,n_distinct_regions,per_gpu_dph_min,per_gpu_dph_p25,per_gpu_dph_p50,per_gpu_dph_p75,per_gpu_dph_p90,per_gpu_dph_max,cheapest_available_provider,cheapest_available_per_gpu_dph,median_boot_min_seconds,median_boot_max_seconds,methodology_version
2026-08-01,2026-08-01T07:40:17.311653+00:00,2026-07-31-1800,b300,7,2,0.2857142857142857,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-01,2026-08-01T13:17:59.766134+00:00,2026-08-01-0600,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.2.1
2026-08-01,2026-08-01T19:15:30.586489+00:00,2026-08-01-1400,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-01,2026-08-02T01:23:52.544288+00:00,2026-08-01-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.2.1
2026-08-02,2026-08-02T07:43:15.823405+00:00,2026-08-01-1800,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-02,2026-08-02T13:18:25.852835+00:00,2026-08-02-0600,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.2.1
2026-08-02,2026-08-02T19:17:18.027040+00:00,2026-08-02-1400,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.2.1
2026-08-02,2026-08-03T01:25:11.693997+00:00,2026-08-02-1800,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-03,2026-08-03T07:57:19.037514+00:00,2026-08-02-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.2.1
2026-08-03,2026-08-03T13:41:10.742892+00:00,2026-08-03-0600,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.2.1
