as_of_date,collected_at,collection_window_id,chip_slug,n_total_sku_region,n_available_now,pct_available,n_providers_carrying,n_providers_with_any_availability,n_distinct_regions,per_gpu_dph_min,per_gpu_dph_p25,per_gpu_dph_p50,per_gpu_dph_p75,per_gpu_dph_p90,per_gpu_dph_max,cheapest_available_provider,cheapest_available_per_gpu_dph,median_boot_min_seconds,median_boot_max_seconds,methodology_version
2026-06-15,2026-06-15T19:25:47.646839+00:00,2026-06-15-1400,gh200,2,0,0.0,2,0,2,2.29,2.7750000000000004,3.2600000000000002,3.745,4.0360000000000005,4.23,,,90.0,270.0,v2.0.0
2026-06-15,2026-06-15T19:37:51.349076+00:00,2026-06-15-1400,gh200,2,0,0.0,2,0,2,2.29,2.7750000000000004,3.2600000000000002,3.745,4.0360000000000005,4.23,,,90.0,270.0,v2.0.0
2026-06-16,2026-06-16T06:18:57.892436+00:00,2026-06-15-1800,gh200,2,1,0.5,2,1,2,2.29,2.7750000000000004,3.2600000000000002,3.745,4.0360000000000005,4.23,Lambda Labs,2.29,90.0,270.0,v2.0.0
2026-06-16,2026-06-16T12:00:01.436101+00:00,2026-06-16-0600,gh200,2,1,0.5,2,1,2,2.29,2.7750000000000004,3.2600000000000002,3.745,4.0360000000000005,4.23,Lambda Labs,2.29,90.0,270.0,v2.0.0
2026-06-16,2026-06-16T17:41:24.033711+00:00,2026-06-16-1000,gh200,2,0,0.0,2,0,2,2.29,2.7750000000000004,3.2600000000000002,3.745,4.0360000000000005,4.23,,,90.0,270.0,v2.0.0
2026-06-16,2026-06-16T21:37:16.220076+00:00,2026-06-16-1400,gh200,2,0,0.0,2,0,2,2.29,2.7750000000000004,3.2600000000000002,3.745,4.0360000000000005,4.23,,,90.0,270.0,v2.0.0
2026-06-17,2026-06-17T05:31:50.987524+00:00,2026-06-16-1800,gh200,2,1,0.5,2,1,2,2.29,2.7750000000000004,3.2600000000000002,3.745,4.0360000000000005,4.23,Lambda Labs,2.29,90.0,270.0,v2.0.0
2026-06-17,2026-06-17T11:25:15.079396+00:00,2026-06-17-0600,gh200,2,0,0.0,2,0,2,2.29,2.7750000000000004,3.2600000000000002,3.745,4.0360000000000005,4.23,,,90.0,270.0,v2.0.0
2026-06-17,2026-06-17T16:31:39.398503+00:00,2026-06-17-1000,gh200,2,1,0.5,2,1,2,2.29,2.7750000000000004,3.2600000000000002,3.745,4.0360000000000005,4.23,Lambda Labs,2.29,90.0,270.0,v2.0.0
2026-06-17,2026-06-17T20:58:04.502399+00:00,2026-06-17-1400,gh200,2,0,0.0,2,0,2,2.29,2.7750000000000004,3.2600000000000002,3.745,4.0360000000000005,4.23,,,90.0,270.0,v2.0.0
2026-06-18,2026-06-18T05:25:15.430666+00:00,2026-06-17-1800,gh200,2,0,0.0,2,0,2,2.29,2.7750000000000004,3.2600000000000002,3.745,4.0360000000000005,4.23,,,90.0,270.0,v2.0.0
2026-06-18,2026-06-18T11:03:42.130638+00:00,2026-06-18-0600,gh200,2,0,0.0,2,0,2,2.29,2.7750000000000004,3.2600000000000002,3.745,4.0360000000000005,4.23,,,90.0,270.0,v2.0.0
2026-06-18,2026-06-18T16:10:51.582893+00:00,2026-06-18-1000,gh200,2,1,0.5,2,1,2,2.29,2.7750000000000004,3.2600000000000002,3.745,4.0360000000000005,4.23,Lambda Labs,2.29,90.0,270.0,v2.0.0
