as_of_date,collected_at,collection_window_id,chip_slug,n_total_sku_region,n_available_now,pct_available,n_providers_carrying,n_providers_with_any_availability,n_distinct_regions,per_gpu_dph_min,per_gpu_dph_p25,per_gpu_dph_p50,per_gpu_dph_p75,per_gpu_dph_p90,per_gpu_dph_max,cheapest_available_provider,cheapest_available_per_gpu_dph,median_boot_min_seconds,median_boot_max_seconds,methodology_version
2026-07-23,2026-07-23T09:20:40.464801+00:00,2026-07-22-1800,l40s,44,14,0.3181818181818182,7,3,16,0.69,0.88,0.88,1.45,1.7,1.7,Massed Compute,0.88,60.0,240.0,v2.2.1
2026-07-23,2026-07-23T15:02:21.345772+00:00,2026-07-23-1000,l40s,44,17,0.38636363636363635,7,4,16,0.69,0.88,0.88,1.45,1.7,1.7,Massed Compute,0.88,60.0,240.0,v2.2.1
2026-07-23,2026-07-23T20:04:26.412651+00:00,2026-07-23-1400,l40s,44,17,0.38636363636363635,7,4,16,0.69,0.88,0.88,1.45,1.7,1.7,Massed Compute,0.88,60.0,240.0,v2.2.1
2026-07-23,2026-07-24T04:00:07.390800+00:00,2026-07-23-1800,l40s,44,15,0.3409090909090909,7,3,16,0.69,0.88,0.88,1.45,1.7,1.7,Massed Compute,0.88,60.0,240.0,v2.2.1
2026-07-24,2026-07-24T07:40:54.709143+00:00,2026-07-23-1800,l40s,44,15,0.3409090909090909,7,3,16,0.69,0.88,0.88,1.45,1.7,1.7,Massed Compute,0.88,60.0,240.0,v2.2.1
2026-07-24,2026-07-24T13:13:20.529872+00:00,2026-07-24-0600,l40s,44,13,0.29545454545454547,7,3,16,0.69,0.88,0.88,1.45,1.7,1.7,Massed Compute,0.88,60.0,240.0,v2.2.1
2026-07-24,2026-07-24T19:19:03.166446+00:00,2026-07-24-1400,l40s,44,14,0.3181818181818182,7,3,16,0.69,0.88,0.88,1.45,1.7,1.7,Massed Compute,0.88,60.0,240.0,v2.2.1
2026-07-24,2026-07-25T01:15:54.586775+00:00,2026-07-24-1800,l40s,44,12,0.2727272727272727,7,3,16,0.69,0.88,0.88,1.45,1.7,1.7,Massed Compute,0.88,60.0,240.0,v2.2.1
2026-07-25,2026-07-25T07:31:31.348031+00:00,2026-07-24-1800,l40s,44,12,0.2727272727272727,7,3,16,0.69,0.88,0.88,1.45,1.7,1.7,Massed Compute,0.88,60.0,240.0,v2.2.1
2026-07-25,2026-07-25T13:17:24.307456+00:00,2026-07-25-0600,l40s,44,11,0.25,7,3,16,0.69,0.88,0.88,1.45,1.7,1.7,Massed Compute,0.88,60.0,240.0,v2.2.1
2026-07-25,2026-07-25T19:10:19.204181+00:00,2026-07-25-1400,l40s,44,11,0.25,7,3,16,0.69,0.88,0.88,1.45,1.7,1.7,Massed Compute,0.88,60.0,240.0,v2.2.1
