as_of_date,scope,n_sources,n_sources_8x,stockout_any_mean,stockout_any_min,stockout_any_max,stockout_8x_mean,n_cycles_median,methodology_version
2026-05-28,geo:EU,1,0,0.4286,0.4286,0.4286,,7,v2.2.0
2026-05-28,geo:US,2,2,1.0,1.0,1.0,1.0,7,v2.2.0
2026-05-28,global,5,3,0.6857,0.0,1.0,1.0,7,v2.2.0
2026-05-28,tier:T1,2,2,1.0,1.0,1.0,1.0,7,v2.2.0
2026-05-28,tier:T2,1,1,1.0,1.0,1.0,1.0,7,v2.2.0
2026-05-28,tier:T3,1,0,0.0,0.0,0.0,,7,v2.2.0
2026-05-29,geo:EU,1,0,0.2857,0.2857,0.2857,,7,v2.2.0
2026-05-29,geo:US,2,2,0.7143,0.4286,1.0,0.7143,7,v2.2.0
2026-05-29,global,5,3,0.5714,0.1429,1.0,0.8095,7,v2.2.0
2026-05-29,tier:T1,2,2,0.7143,0.4286,1.0,0.7143,7,v2.2.0
2026-05-29,tier:T2,1,1,1.0,1.0,1.0,1.0,7,v2.2.0
2026-05-29,tier:T3,1,0,0.1429,0.1429,0.1429,,7,v2.2.0
2026-05-30,geo:EU,1,0,0.1,0.1,0.1,,10,v2.2.0
2026-05-30,geo:US,2,2,0.5,0.0,1.0,0.5,10,v2.2.0
2026-05-30,global,5,3,0.42,0.0,1.0,0.6667,10,v2.2.0
2026-05-30,tier:T1,2,2,0.5,0.0,1.0,0.5,10,v2.2.0
2026-05-30,tier:T2,1,1,1.0,1.0,1.0,1.0,10,v2.2.0
2026-05-30,tier:T3,1,0,0.0,0.0,0.0,,10,v2.2.0
2026-05-31,geo:EU,1,0,0.0,0.0,0.0,,9,v2.2.0
2026-05-31,geo:US,2,2,0.5,0.0,1.0,0.5,9,v2.2.0
2026-05-31,global,5,3,0.4,0.0,1.0,0.6667,9,v2.2.0
2026-05-31,tier:T1,2,2,0.5,0.0,1.0,0.5,9,v2.2.0
2026-05-31,tier:T2,1,1,1.0,1.0,1.0,1.0,9,v2.2.0
2026-05-31,tier:T3,1,0,0.0,0.0,0.0,,9,v2.2.0
2026-06-01,geo:EU,1,0,0.0,0.0,0.0,,5,v2.2.0
2026-06-01,geo:US,2,2,0.5,0.0,1.0,0.5,5,v2.2.0
2026-06-01,global,5,3,0.4,0.0,1.0,0.6667,5,v2.2.0
2026-06-01,tier:T1,2,2,0.5,0.0,1.0,0.5,5,v2.2.0
2026-06-01,tier:T2,1,1,1.0,1.0,1.0,1.0,5,v2.2.0
2026-06-01,tier:T3,1,0,0.0,0.0,0.0,,5,v2.2.0
2026-06-02,geo:EU,1,0,0.5,0.5,0.5,,6,v2.2.0
2026-06-02,geo:US,2,2,0.6667,0.3333,1.0,0.6667,6,v2.2.0
2026-06-02,global,5,3,0.5667,0.0,1.0,0.7778,6,v2.2.0
2026-06-02,tier:T1,2,2,0.6667,0.3333,1.0,0.6667,6,v2.2.0
2026-06-02,tier:T2,1,1,1.0,1.0,1.0,1.0,6,v2.2.0
2026-06-02,tier:T3,1,0,0.0,0.0,0.0,,6,v2.2.0
2026-06-03,geo:EU,1,0,0.2,0.2,0.2,,5,v2.2.0
2026-06-03,geo:US,2,2,0.6,0.2,1.0,0.6,5,v2.2.0
2026-06-03,global,5,3,0.56,0.2,1.0,0.7333,5,v2.2.0
2026-06-03,tier:T1,2,2,0.6,0.2,1.0,0.6,5,v2.2.0
2026-06-03,tier:T2,1,1,1.0,1.0,1.0,1.0,5,v2.2.0
2026-06-03,tier:T3,1,0,0.4,0.4,0.4,,5,v2.2.0
2026-06-04,geo:US,2,2,0.9375,0.875,1.0,0.9375,8,v2.2.0
2026-06-04,global,4,3,0.7188,0.0,1.0,0.9583,8,v2.2.0
2026-06-04,tier:T1,2,2,0.9375,0.875,1.0,0.9375,8,v2.2.0
2026-06-04,tier:T2,1,1,1.0,1.0,1.0,1.0,8,v2.2.0
2026-06-04,tier:T3,1,0,0.0,0.0,0.0,,8,v2.2.0
2026-06-05,geo:US,2,2,0.8571,0.7143,1.0,0.8571,7,v2.2.0
2026-06-05,global,4,3,0.7143,0.1429,1.0,0.9048,7,v2.2.0
2026-06-05,tier:T1,2,2,0.8571,0.7143,1.0,0.8571,7,v2.2.0
2026-06-05,tier:T2,1,1,1.0,1.0,1.0,1.0,7,v2.2.0
2026-06-05,tier:T3,1,0,0.1429,0.1429,0.1429,,7,v2.2.0
2026-06-06,geo:EU,1,0,0.2,0.2,0.2,,10,v2.2.0
2026-06-06,geo:US,2,2,0.65,0.3,1.0,0.65,10,v2.2.0
2026-06-06,global,5,3,0.5,0.0,1.0,0.7667,10,v2.2.0
2026-06-06,tier:T1,2,2,0.65,0.3,1.0,0.65,10,v2.2.0
2026-06-06,tier:T2,1,1,1.0,1.0,1.0,1.0,10,v2.2.0
2026-06-06,tier:T3,1,0,0.0,0.0,0.0,,10,v2.2.0
2026-06-07,geo:EU,1,0,0.5556,0.5556,0.5556,,9,v2.2.0
2026-06-07,geo:US,2,2,0.8889,0.7778,1.0,0.8889,9,v2.2.0
2026-06-07,global,5,3,0.6667,0.0,1.0,0.9259,9,v2.2.0
2026-06-07,tier:T1,2,2,0.8889,0.7778,1.0,0.8889,9,v2.2.0
2026-06-07,tier:T2,1,1,1.0,1.0,1.0,1.0,9,v2.2.0
2026-06-07,tier:T3,1,0,0.0,0.0,0.0,,9,v2.2.0
2026-06-08,geo:EU,1,0,0.4286,0.4286,0.4286,,7,v2.2.0
2026-06-08,geo:US,2,2,0.8571,0.7143,1.0,0.8571,7,v2.2.0
2026-06-08,global,5,3,0.6286,0.0,1.0,0.9048,7,v2.2.0
2026-06-08,tier:T1,2,2,0.8571,0.7143,1.0,0.8571,7,v2.2.0
2026-06-08,tier:T2,1,1,1.0,1.0,1.0,1.0,7,v2.2.0
2026-06-08,tier:T3,1,0,0.0,0.0,0.0,,7,v2.2.0
2026-06-09,geo:US,2,2,0.5,0.0,1.0,0.5,7,v2.2.0
2026-06-09,global,4,3,0.5,0.0,1.0,0.6667,7,v2.2.0
2026-06-09,tier:T1,2,2,0.5,0.0,1.0,0.5,7,v2.2.0
2026-06-09,tier:T2,1,1,1.0,1.0,1.0,1.0,7,v2.2.0
2026-06-09,tier:T3,1,0,0.0,0.0,0.0,,7,v2.2.0
2026-06-10,geo:EU,1,0,0.1429,0.1429,0.1429,,7,v2.2.0
2026-06-10,geo:US,2,2,0.5,0.0,1.0,0.5,7,v2.2.0
2026-06-10,global,5,3,0.4571,0.0,1.0,0.6667,7,v2.2.0
2026-06-10,tier:T1,2,2,0.5,0.0,1.0,0.5,7,v2.2.0
2026-06-10,tier:T2,1,1,1.0,1.0,1.0,1.0,7,v2.2.0
2026-06-10,tier:T3,1,0,0.1429,0.1429,0.1429,,7,v2.2.0
2026-06-11,geo:US,2,2,0.5,0.0,1.0,0.5,7,v2.2.0
2026-06-11,global,4,3,0.5357,0.0,1.0,0.6667,7,v2.2.0
2026-06-11,tier:T1,2,2,0.5,0.0,1.0,0.5,7,v2.2.0
2026-06-11,tier:T2,1,1,1.0,1.0,1.0,1.0,7,v2.2.0
2026-06-11,tier:T3,1,0,0.1429,0.1429,0.1429,,7,v2.2.0
2026-06-12,geo:EU,1,0,0.1429,0.1429,0.1429,,7,v2.2.0
2026-06-12,geo:US,2,2,0.5,0.0,1.0,0.5,7,v2.2.0
2026-06-12,global,5,3,0.4286,0.0,1.0,0.6667,7,v2.2.0
2026-06-12,tier:T1,2,2,0.5,0.0,1.0,0.5,7,v2.2.0
2026-06-12,tier:T2,1,1,1.0,1.0,1.0,1.0,7,v2.2.0
2026-06-12,tier:T3,1,0,0.0,0.0,0.0,,7,v2.2.0
2026-06-13,geo:US,2,2,0.5,0.0,1.0,0.5,9,v2.2.0
2026-06-13,global,4,3,0.5,0.0,1.0,0.6667,9,v2.2.0
2026-06-13,tier:T1,2,2,0.5,0.0,1.0,0.5,9,v2.2.0
2026-06-13,tier:T2,1,1,1.0,1.0,1.0,1.0,9,v2.2.0
2026-06-13,tier:T3,1,0,0.0,0.0,0.0,,9,v2.2.0
2026-06-14,geo:US,2,2,0.5,0.0,1.0,0.5,8,v2.2.0
2026-06-14,global,4,3,0.5,0.0,1.0,0.6667,8,v2.2.0
2026-06-14,tier:T1,2,2,0.5,0.0,1.0,0.5,8,v2.2.0
2026-06-14,tier:T2,1,1,1.0,1.0,1.0,1.0,8,v2.2.0
2026-06-14,tier:T3,1,0,0.0,0.0,0.0,,8,v2.2.0
2026-06-15,geo:US,2,2,0.5,0.0,1.0,0.5,5,v2.2.0
2026-06-15,global,4,3,0.5,0.0,1.0,0.6667,5,v2.2.0
2026-06-15,tier:T1,2,2,0.5,0.0,1.0,0.5,5,v2.2.0
2026-06-15,tier:T2,1,1,1.0,1.0,1.0,1.0,5,v2.2.0
2026-06-15,tier:T3,1,0,0.0,0.0,0.0,,5,v2.2.0
2026-06-16,geo:EU,1,0,0.0,0.0,0.0,,4,v2.2.0
2026-06-16,geo:US,2,2,0.875,0.75,1.0,0.875,4,v2.2.0
2026-06-16,global,5,3,0.55,0.0,1.0,0.9167,4,v2.2.0
2026-06-16,tier:T1,2,2,0.875,0.75,1.0,0.875,4,v2.2.0
2026-06-16,tier:T2,1,1,1.0,1.0,1.0,1.0,4,v2.2.0
2026-06-16,tier:T3,1,0,0.0,0.0,0.0,,4,v2.2.0
