as_of_date,cycle_hour,chip_slug,n_sources,n_count_sources,idle_gpus_observable,gpuw_pct_source_equal,methodology_version
2026-08-02,2026-08-02T07:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
2026-08-02,2026-08-02T09:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
2026-08-02,2026-08-02T12:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
2026-08-02,2026-08-02T15:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
2026-08-02,2026-08-02T18:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
2026-08-02,2026-08-02T21:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
2026-08-02,2026-08-03T00:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
2026-08-02,2026-08-03T04:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
2026-08-03,2026-08-03T07:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
2026-08-03,2026-08-03T10:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
2026-08-03,2026-08-03T13:00:00+00:00,a100-sxm-40gb,2,0,,0.0,v2.2.1
2026-08-03,2026-08-03T16:00:00+00:00,a100-sxm-40gb,2,0,,0.0,v2.2.1
2026-08-03,2026-08-03T18:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
2026-08-03,2026-08-03T21:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
2026-08-03,2026-08-04T00:00:00+00:00,a100-sxm-40gb,2,0,,0.0,v2.2.1
2026-08-03,2026-08-04T04:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
2026-08-04,2026-08-04T07:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
2026-08-04,2026-08-04T10:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
2026-08-04,2026-08-04T12:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
2026-08-04,2026-08-04T16:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
2026-08-04,2026-08-04T18:00:00+00:00,a100-sxm-40gb,3,0,,0.3333,v2.2.1
