as_of_date,cycle_hour,chip_slug,n_sources,n_count_sources,idle_gpus_observable,gpuw_pct_source_equal,methodology_version
2026-07-06,2026-07-06T10:00:00+00:00,b200-sxm,1,0,,0.0,v2.0.0
2026-07-06,2026-07-06T11:00:00+00:00,b200-sxm,3,0,,0.4583,v2.0.0
2026-07-06,2026-07-06T15:00:00+00:00,b200-sxm,4,0,,0.3438,v2.0.0
2026-07-06,2026-07-06T20:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-06,2026-07-06T22:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-06,2026-07-07T04:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-07,2026-07-07T09:00:00+00:00,b200-sxm,2,0,,0.0625,v2.0.0
2026-07-07,2026-07-07T10:00:00+00:00,b200-sxm,2,0,,0.5,v2.0.0
2026-07-07,2026-07-07T15:00:00+00:00,b200-sxm,5,0,,0.425,v2.0.0
2026-07-07,2026-07-07T17:00:00+00:00,b200-sxm,4,0,,0.0312,v2.0.0
2026-07-07,2026-07-07T20:00:00+00:00,b200-sxm,5,0,,0.425,v2.0.0
2026-07-07,2026-07-07T22:00:00+00:00,b200-sxm,5,0,,0.425,v2.0.0
2026-07-07,2026-07-08T03:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-08,2026-07-08T08:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-08,2026-07-08T11:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-08,2026-07-08T14:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-08,2026-07-08T16:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-08,2026-07-08T19:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-08,2026-07-08T22:00:00+00:00,b200-sxm,5,0,,0.425,v2.0.0
2026-07-08,2026-07-09T04:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-09,2026-07-09T10:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-09,2026-07-09T15:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-09,2026-07-09T20:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-09,2026-07-09T22:00:00+00:00,b200-sxm,5,0,,0.425,v2.0.0
2026-07-09,2026-07-10T04:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-10,2026-07-10T09:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-10,2026-07-10T14:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-10,2026-07-10T17:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-10,2026-07-10T19:00:00+00:00,b200-sxm,4,0,,0.0312,v2.0.0
2026-07-10,2026-07-10T22:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-10,2026-07-11T03:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-11,2026-07-11T08:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-11,2026-07-11T10:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-11,2026-07-11T13:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-11,2026-07-11T16:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-11,2026-07-11T19:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-11,2026-07-11T22:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-11,2026-07-12T03:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-12,2026-07-12T08:00:00+00:00,b200-sxm,5,0,,0.425,v2.0.0
2026-07-12,2026-07-12T10:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-12,2026-07-12T13:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-12,2026-07-12T16:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-12,2026-07-12T19:00:00+00:00,b200-sxm,5,0,,0.425,v2.0.0
2026-07-12,2026-07-12T22:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-12,2026-07-13T03:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-12,2026-07-13T04:00:00+00:00,b200-sxm,1,0,,1.0,v2.0.0
2026-07-13,2026-07-13T09:00:00+00:00,b200-sxm,4,0,,0.0312,v2.0.0
2026-07-13,2026-07-13T15:00:00+00:00,b200-sxm,4,0,,0.0312,v2.0.0
2026-07-13,2026-07-13T17:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-13,2026-07-13T19:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-13,2026-07-13T22:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-13,2026-07-14T03:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-14,2026-07-14T08:00:00+00:00,b200-sxm,4,0,,0.0625,v2.0.0
2026-07-14,2026-07-14T10:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-14,2026-07-14T14:00:00+00:00,b200-sxm,4,0,,0.3125,v2.0.0
2026-07-14,2026-07-14T16:00:00+00:00,b200-sxm,4,0,,0.0625,v2.0.0
2026-07-14,2026-07-14T19:00:00+00:00,b200-sxm,4,0,,0.3125,v2.0.0
2026-07-14,2026-07-14T22:00:00+00:00,b200-sxm,4,0,,0.2812,v2.0.0
2026-07-14,2026-07-15T03:00:00+00:00,b200-sxm,4,0,,0.4631,v2.0.0
2026-07-15,2026-07-15T08:00:00+00:00,b200-sxm,4,1,0,0.25,v2.2.0
