as_of_date,collected_at,collection_window_id,gpu_name,silicon_id,n_offers,per_gpu_dph_min,per_gpu_dph_p10,per_gpu_dph_p25,per_gpu_dph_p50,per_gpu_dph_p75,per_gpu_dph_p90,per_gpu_dph_max,min_bid_p50,n_verified,n_deverified,n_other_verification,median_verified,median_deverified,n_1x,n_2x,n_4x,n_8x,n_other_multigpu,reliability_p25,reliability_p50,reliability_p75,inet_down_p50_mbps,inet_down_p75_mbps,inet_up_p50_mbps,egress_cost_per_tb_p50,storage_cost_per_gb_mo_p50,methodology_version
2026-06-23,2026-06-23T10:24:38.252374+00:00,2026-06-22-1800,RTX 6000Ada,rtx6000ada-pcie-48gb,42,0.46888888888888886,0.5339074074074074,0.6082407407407406,1.0013333333333332,2.171555555555556,3.929333333333332,6.416592592592592,0.7933333333333332,40,0,2,1.0781111111111112,,17,10,8,5,2,0.993567525,0.9968254,0.9991053,902.7,6295.9,894.3,4.0,0.19999999999999998,v2.0.0
2026-06-23,2026-06-23T15:40:54.899364+00:00,2026-06-23-1000,RTX 6000Ada,rtx6000ada-pcie-48gb,42,0.46888888888888886,0.5221444444444444,0.6082407407407406,0.9123055555555555,1.9030555555555557,3.929333333333332,6.416592592592592,0.7999999375,40,0,2,0.9671203703703704,,17,10,8,5,2,0.994029475,0.9968696,0.99892005,902.7,3478.825,910.85,4.0,0.19999999999999998,v2.0.0
2026-06-23,2026-06-23T20:56:51.029972+00:00,2026-06-23-1400,RTX 6000Ada,rtx6000ada-pcie-48gb,41,0.46888888888888886,0.5338888888888889,0.6668518518518518,0.9337777777777777,2.1422222222222222,4.007407407407407,6.416592592592592,0.8,39,0,2,1.0004629629629629,,16,10,7,5,3,0.9943797,0.9969061,0.9991081,923.4,7085.0,927.8,4.0,0.19999999999999998,v2.0.0
2026-06-23,2026-06-24T04:53:51.445338+00:00,2026-06-23-1800,RTX 6000Ada,rtx6000ada-pcie-48gb,42,0.46888888888888886,0.5342222222222222,0.629074074074074,1.0346759259259257,2.3222222222222224,3.929333333333332,6.416592592592592,0.8366666666666667,40,0,2,1.1288888888888888,,17,10,8,5,2,0.9941379,0.9968273,0.9986133500000001,914.0,6472.9,905.0999999999999,4.0,0.19999999999999998,v2.0.0
2026-06-24,2026-06-24T10:04:33.145355+00:00,2026-06-23-1800,RTX 6000Ada,rtx6000ada-pcie-48gb,41,0.46888888888888886,0.534074074074074,0.6296296296296295,0.9337777777777777,2.3502222222222224,4.007407407407407,6.416592592592592,0.8,39,0,2,1.0688888888888888,,16,10,7,5,3,0.9946696,0.9968414,0.9991113,925.2,7225.0,902.4,4.0,0.19999999999999998,v2.0.0
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,RTX 6000Ada,rtx6000ada-pcie-48gb,40,0.46888888888888886,0.5340555555555555,0.6222222222222222,1.0346759259259257,2.1862222222222223,4.087851851851853,6.416592592592592,0.8066666666666666,38,0,2,1.1128888888888888,,16,9,7,5,3,0.9943537499999999,0.9969091999999999,0.998824325,898.8,5012.55,874.6,4.0,0.19999999999999998,v2.0.0
2026-06-24,2026-06-24T20:26:25.207896+00:00,2026-06-24-1400,RTX 6000Ada,rtx6000ada-pcie-48gb,40,0.46888888888888886,0.5216518518518518,0.6575462962962964,0.9005925925925926,2.2074074074074073,4.087851851851853,6.416592592592592,0.8,38,0,2,1.0013333333333332,,16,9,7,5,3,0.994948325,0.99692325,0.9991138,924.4,7551.974999999999,914.25,4.0,0.19999999999999998,v2.0.0
2026-06-24,2026-06-25T04:52:23.914826+00:00,2026-06-24-1800,RTX 6000Ada,rtx6000ada-pcie-48gb,40,0.46888888888888886,0.5327851851851851,0.6668518518518518,1.0013333333333332,2.172888888888889,4.087851851851853,6.416592592592592,0.8,38,0,2,1.0995555555555554,,16,9,8,5,2,0.9951827,0.9971089,0.9991153,904.45,4869.025,859.3,4.0,0.19999999999999998,v2.0.0
2026-06-25,2026-06-25T10:00:41.740146+00:00,2026-06-24-1800,RTX 6000Ada,rtx6000ada-pcie-48gb,40,0.46888888888888886,0.5211851851851852,0.6575462962962964,1.0013333333333332,2.2074074074074073,4.087851851851853,6.416592592592592,0.8,38,0,2,1.0835555555555554,,16,9,7,5,3,0.9944666,0.9968747,0.9991162,922.7,6858.925,905.4,4.0,0.19999999999999998,v2.0.0
2026-06-25,2026-06-25T15:33:52.044629+00:00,2026-06-25-1000,RTX 6000Ada,rtx6000ada-pcie-48gb,40,0.46888888888888886,0.5340555555555555,0.6869212962962963,1.1348148148148147,2.469629629629629,4.087851851851853,5.884562962962963,0.8300000000000001,38,0,2,1.2014814814814816,,16,9,8,5,2,0.99470505,0.9968944,0.9991174,922.7,7301.9,895.3,4.0,0.19999999999999998,v2.0.0
