geolocation,n_offers,median_per_gpu_dph
"United Kingdom, GB",20,2.402222222222222
"Japan, JP",18,1.2055555555555557
"Oklahoma, US",6,1.4733333333333334
"Virginia, US",5,0.8014814814814815
"Italy, IT",4,0.4009259259259259
"California, US",3,1.6192592592592592
"Estonia, EE",3,1.6018518518518516
"Michigan, US",3,1.0407407407407407
"Minnesota, US",3,1.0148148148148146
"Arizona, US",2,0.6344592592592593
"Finland, FI",2,0.7018518518518517
"Moscow, RU",2,1.1027777777777779
"Sweden, SE",2,0.841851851851852
"Texas, US",2,0.5000277777777777
"Germany, DE",1,0.7348444444444445
"Netherlands, NL",1,0.6688888888888889
