geolocation,n_offers,median_per_gpu_dph
"Czechia, CZ",31,2.082666666666667
"Japan, JP",15,2.5595362962962964
"Georgia, US",13,1.6673148148148147
"Massachusetts, US",8,3.080796179060094
"Minnesota, US",8,1.3202777777777777
"Slovenia, SI",8,2.2018518518518517
"Sweden, SE",8,2.362925925925926
"Quebec, CA",7,0.8014814814814815
"United Arab Emirates, AE",5,1.3355555555555554
"California, US",4,2.8018518518518514
"Iowa, US",4,0.9733333333333334
"United Kingdom, GB",4,0.6014814814814815
"Virginia, US",4,2.8018518518518514
"Croatia, HR",3,1.6037037037037036
"Taiwan, TW",3,1.8674074074074072
"Alberta, CA",2,0.5496296296296296
"District of Columbia, US",2,1.613888888888889
"France, FR",2,2.4055555555555554
"Germany, DE",2,1.1701213304629632
"Kansas, US",2,0.8038888888888889
"Montana, US",2,2.8323611111111107
"South Korea, KR",2,1.3450278444444446
"Idaho, US",1,0.6555555555555556
"Singapore, SG",1,0.4022222222222222
"South Carolina, US",1,0.4022222222222222
