geolocation,n_offers,median_per_gpu_dph
"Japan, JP",12,0.467037037037037
"Taiwan, TW",10,0.8002407407407407
"Texas, US",8,0.7338888888888889
"Türkiye, TR",7,0.5337037037037037
"Finland, FI",5,0.737037037037037
"Romania, RO",4,0.8005555555555555
"Slovenia, SI",4,0.8008333333333333
"South Africa, ZA",4,0.792902988888889
"United Kingdom, GB",3,0.6677777777777777
"Virginia, US",3,0.5348148148148149
"Brazil, BR",2,1.1083333333333334
"Czechia, CZ",2,0.6944444444444444
"South Korea, KR",2,0.8683333333333334
"Spain, ES",2,0.936111111111111
"Florida, US",1,0.627037037037037
