geolocation,n_offers,median_per_gpu_dph
"Japan, JP",37,0.3738888888888889
"Texas, US",33,0.5069444444444444
"Quebec, CA",27,0.3737037037037037
"California, US",25,0.6009259259259259
"Washington, US",24,0.6008333333333333
"United Kingdom, GB",22,0.47518518518518515
"Hungary, HU",20,0.667537037037037
"Iceland, IS",20,0.4008296296296296
"The Netherlands, NL",19,0.33444444444444443
"Sweden, SE",18,0.3576531851851852
"Taiwan, TW",18,0.3555555555555556
"United States, US",17,0.30712962962962964
"Maryland, US",15,0.7035925925925925
"Romania, RO",15,0.6675925925925925
", CN",8,0.1275462962962963
"Denmark, DK",8,0.3882962962962963
"Bulgaria, BG",7,0.37361111111111117
"Delaware, US",7,0.29555555555555557
"Italy, IT",7,0.3971111111111111
"Norway, NO",7,0.5351851851851852
"Pennsylvania, US",7,0.36111111111111116
"Utah, US",7,0.45407407407407413
"Vietnam, VN",7,0.3191851851851851
"Ukraine, UA",6,0.29435185185185186
"Brazil, BR",5,0.27518518518518514
"British Columbia, CA",5,0.3664444444444445
"Oregon, US",5,0.3738888888888889
"Estonia, EE",4,0.6018518518518519
"France, FR",4,0.3348148148148149
"Hong Kong, HK",4,0.31405555555555553
"South Korea, KR",4,0.32194074074074075
"Thailand, TH",4,0.3479166666666667
"Wisconsin, US",4,0.5341666666666667
"Krasnodar Krai, RU",3,0.2544444444444444
"Minnesota, US",3,0.3805555555555555
"Nebraska, US",3,0.3935185185185185
"Nevada, US",3,0.33555555555555555
"North Carolina, US",3,0.4272222222222222
"Spain, ES",3,0.3748148148148148
"Türkiye, TR",3,0.3211111111111111
"Virginia, US",3,0.29555555555555557
"Australia, AU",2,0.3219444444444445
"Finland, FI",2,0.5004835390946502
"Germany, DE",2,0.4174444444444444
"Idaho, US",2,0.8022222222222222
"Jiangsu, CN",2,0.32166666666666666
"Malaysia, MY",2,0.36037037037037034
"Massachusetts, US",2,0.45466666666666666
"Michigan, US",2,0.3616666666666667
"New York, US",2,0.620246913580247
"North Macedonia, MK",2,0.4977962962962964
"Poland, PL",2,0.415
"Vologodskaya oblast', RU",2,0.4955555555555555
", US",1,0.3478703703703704
"Alberta, CA",1,0.5336111111111111
"Arizona, US",1,0.3888888888888889
"Beijing, CN",1,0.414074074074074
"Chelyabinskaya oblast', RU",1,0.4955555555555555
"Chile, CL",1,0.37777777777777777
"Czechia, CZ",1,0.34740740740740744
"Fujian, CN",1,0.2414814814814815
"Georgia, US",1,0.522074074074074
"Illinois, US",1,0.3479012345679013
"India, IN",1,0.30888888888888894
"Montana, US",1,0.3896296296296296
"Ontario, CA",1,0.3201481481481482
"Pakistan, PK",1,0.29555555555555557
"Portugal, PT",1,0.30888888888888894
"Saha, Respublika, RU",1,0.4944444444444444
"South Africa, ZA",1,0.6258891407407408
