geolocation,n_offers,median_per_gpu_dph
"Germany, DE",8,1.7622222222222224
"Japan, JP",8,0.7662222222222222
"Türkiye, TR",5,1.2007407407407407
"Finland, FI",4,1.8046296296296296
"Taiwan, TW",4,1.5627777777777778
"Texas, US",2,0.9009259259259259
"United Kingdom, GB",2,1.0406944444444446
"Australia, AU",1,0.5011111111111111
"Belarus, BY",1,0.33388888888888885
"Estonia, EE",1,0.5338271604938271
"India, IN",1,0.5355555555555556
"Netherlands, NL",1,0.5071111111111111
"New York, US",1,0.49629629629629624
"Sichuan, CN",1,0.46722222222222215
"Utah, US",1,0.5211851851851852
