as_of_date,cycle,chip_slug,utilization,total_gpus,idle_gpus,n_machines,n_machines_fully_rented,n_machines_idle_ge_8,methodology_version
2026-05-13,2026-05-13-1400,ALL,0.8762,10450,1294,2538,2072,51,v2.0.0
2026-05-13,2026-05-13-1800,ALL,0.8687,10598,1392,2572,2039,59,v2.0.0
2026-05-14,2026-05-14-0600,ALL,0.8792,10642,1286,2567,2085,52,v2.0.0
2026-05-14,2026-05-14-1000,ALL,0.888,10541,1181,2557,2131,51,v2.0.0
2026-05-14,2026-05-14-1400,ALL,0.8744,10450,1313,2549,2061,55,v2.0.0
2026-05-14,2026-05-14-1800,ALL,0.8875,10535,1185,2564,2123,50,v2.0.0
2026-05-15,2026-05-15-0600,ALL,0.8833,10676,1246,2595,2145,53,v2.0.0
2026-05-15,2026-05-15-1000,ALL,0.8928,10639,1141,2569,2139,48,v2.0.0
2026-05-15,2026-05-15-1400,ALL,0.8858,10643,1215,2559,2084,42,v2.0.0
2026-05-15,2026-05-15-1800,ALL,0.8783,10581,1288,2570,2096,50,v2.0.0
2026-05-16,2026-05-16-0600,ALL,0.8942,10651,1127,2559,2158,53,v2.0.0
2026-05-16,2026-05-16-1000,ALL,0.8949,10637,1118,2563,2157,49,v2.0.0
2026-05-16,2026-05-16-1400,ALL,0.9005,10602,1055,2568,2165,45,v2.0.0
2026-05-16,2026-05-16-1800,ALL,0.898,10744,1096,2593,2209,50,v2.0.0
2026-05-17,2026-05-17-0600,ALL,0.9011,10769,1065,2591,2219,50,v2.0.0
2026-05-17,2026-05-17-1000,ALL,0.9025,10757,1049,2573,2210,48,v2.0.0
2026-05-17,2026-05-17-1400,ALL,0.8982,10820,1101,2600,2204,46,v2.0.0
2026-05-17,2026-05-17-1800,ALL,0.8891,10665,1183,2590,2163,50,v2.0.0
2026-05-18,2026-05-18-1000,ALL,0.8945,10787,1138,2620,2203,50,v2.0.0
2026-05-18,2026-05-18-1400,ALL,0.869,10744,1407,2614,2072,54,v2.0.0
2026-05-18,2026-05-18-1800,ALL,0.8683,10927,1439,2662,2107,54,v2.0.0
2026-05-19,2026-05-19-1000,ALL,0.8696,10886,1420,2649,2096,55,v2.0.0
2026-05-19,2026-05-19-1400,ALL,0.8609,10930,1520,2641,2069,61,v2.0.0
2026-05-19,2026-05-19-1800,ALL,0.8968,10801,1115,2627,2215,50,v2.0.0
2026-05-20,2026-05-20-1000,ALL,0.9034,10746,1038,2626,2225,45,v2.0.0
2026-05-20,2026-05-20-1400,ALL,0.8947,10634,1120,2604,2158,42,v2.0.0
2026-05-20,2026-05-20-1800,ALL,0.9161,11073,929,2725,2359,39,v2.0.0
2026-05-21,2026-05-21-1000,ALL,0.92,10964,877,2677,2341,36,v2.0.0
2026-05-21,2026-05-21-1400,ALL,0.9205,10975,872,2676,2341,39,v2.0.0
2026-05-21,2026-05-21-1800,ALL,0.9199,10793,864,2615,2282,35,v2.0.0
2026-05-22,2026-05-22-1000,ALL,0.9309,10769,744,2622,2350,32,v2.0.0
2026-05-22,2026-05-22-1400,ALL,0.9204,10633,846,2599,2275,34,v2.0.0
2026-05-22,2026-05-22-1800,ALL,0.9125,10667,933,2623,2272,42,v2.0.0
2026-05-23,2026-05-23-0600,ALL,0.9053,10639,1007,2633,2256,41,v2.0.0
2026-05-23,2026-05-23-1000,ALL,0.9067,10724,1001,2648,2269,41,v2.0.0
2026-05-23,2026-05-23-1400,ALL,0.8999,10615,1063,2632,2209,41,v2.0.0
2026-05-23,2026-05-23-1800,ALL,0.888,10856,1216,2661,2215,52,v2.0.0
2026-05-24,2026-05-24-0600,ALL,0.8904,10707,1174,2640,2226,56,v2.0.0
2026-05-24,2026-05-24-1000,ALL,0.9061,10736,1008,2658,2300,50,v2.0.0
2026-05-24,2026-05-24-1400,ALL,0.8997,10726,1076,2644,2244,45,v2.0.0
2026-05-24,2026-05-24-1800,ALL,0.8827,10896,1278,2676,2268,66,v2.0.0
2026-05-25,2026-05-25-1000,ALL,0.8838,10795,1254,2659,2242,64,v2.0.0
2026-05-25,2026-05-25-1400,ALL,0.884,10816,1255,2664,2236,61,v2.0.0
2026-05-25,2026-05-25-1800,ALL,0.8861,10823,1233,2663,2232,57,v2.0.0
2026-05-26,2026-05-26-1000,ALL,0.8999,10931,1094,2680,2307,55,v2.0.0
2026-05-26,2026-05-26-1400,ALL,0.8971,11064,1138,2708,2333,52,v2.0.0
2026-05-26,2026-05-26-1800,ALL,0.9057,11116,1048,2739,2388,51,v2.0.0
2026-05-27,2026-05-27-1000,ALL,0.9231,11281,868,2757,2456,39,v2.0.0
2026-05-27,2026-05-27-1400,ALL,0.9362,10942,698,2708,2470,32,v2.0.0
2026-05-27,2026-05-27-1800,ALL,0.9455,11051,602,2717,2514,31,v2.0.0
2026-05-28,2026-05-28-1000,ALL,0.9528,10974,518,2711,2532,26,v2.0.0
2026-05-28,2026-05-28-1400,ALL,0.9551,10855,487,2706,2534,24,v2.0.0
2026-05-28,2026-05-28-1800,ALL,0.9592,10823,442,2678,2541,21,v2.0.0
2026-05-29,2026-05-29-1000,ALL,0.9664,10772,362,2676,2543,15,v2.0.0
2026-05-29,2026-05-29-1400,ALL,0.9596,10820,437,2677,2546,27,v2.0.0
2026-05-29,2026-05-29-1800,ALL,0.9422,10898,630,2687,2476,29,v2.0.0
2026-05-30,2026-05-30-0600,ALL,0.9361,10782,689,2662,2433,37,v2.0.0
2026-05-30,2026-05-30-1000,ALL,0.9224,10756,835,2669,2367,41,v2.0.0
2026-05-30,2026-05-30-1400,ALL,0.9091,10751,977,2665,2309,45,v2.0.0
2026-05-30,2026-05-30-1800,ALL,0.8947,10773,1134,2676,2248,52,v2.0.0
2026-05-31,2026-05-31-0600,ALL,0.887,10960,1238,2708,2256,62,v2.0.0
2026-05-31,2026-05-31-1000,ALL,0.896,11108,1155,2721,2306,57,v2.0.0
2026-05-31,2026-05-31-1400,ALL,0.8798,10951,1316,2700,2230,65,v2.0.0
2026-05-31,2026-05-31-1800,ALL,0.8702,10794,1401,2692,2209,77,v2.0.0
2026-06-01,2026-06-01-0600,ALL,0.8907,10831,1184,2691,2263,61,v2.0.0
2026-06-01,2026-06-01-1000,ALL,0.8876,10931,1229,2707,2268,64,v2.0.0
2026-06-01,2026-06-01-1400,ALL,0.8783,10982,1336,2715,2232,71,v2.0.0
2026-06-01,2026-06-01-1800,ALL,0.8617,10937,1513,2699,2155,78,v2.0.0
2026-06-02,2026-06-02-0600,ALL,0.8577,11005,1566,2710,2166,80,v2.0.0
2026-06-02,2026-06-02-1000,ALL,0.8713,11011,1417,2706,2150,64,v2.0.0
2026-06-02,2026-06-02-1400,ALL,0.8626,10926,1501,2705,2110,65,v2.0.0
2026-06-02,2026-06-02-1800,ALL,0.8433,11009,1725,2721,2102,87,v2.0.0
2026-06-03,2026-06-03-0600,ALL,0.8498,10951,1645,2709,2130,84,v2.0.0
2026-06-03,2026-06-03-1000,ALL,0.851,11045,1646,2718,2152,87,v2.0.0
2026-06-03,2026-06-03-1400,ALL,0.8556,11236,1623,2758,2172,82,v2.0.0
2026-06-03,2026-06-03-1800,ALL,0.8536,11264,1649,2759,2160,81,v2.0.0
2026-06-04,2026-06-04-1000,ALL,0.851,11411,1700,2785,2204,89,v2.0.0
2026-06-04,2026-06-04-1400,ALL,0.8386,11241,1814,2757,2115,92,v2.0.0
2026-06-04,2026-06-04-1800,ALL,0.8413,11295,1793,2767,2121,88,v2.0.0
2026-06-05,2026-06-05-1000,ALL,0.8443,11115,1731,2733,2125,87,v2.0.0
2026-06-05,2026-06-05-1400,ALL,0.8413,11255,1786,2744,2117,88,v2.0.0
2026-06-05,2026-06-05-1800,ALL,0.8228,11203,1985,2745,2005,91,v2.0.0
2026-06-06,2026-06-06-0600,ALL,0.8114,11153,2103,2702,1941,99,v2.0.0
2026-06-06,2026-06-06-1000,ALL,0.8146,11184,2074,2732,1979,96,v2.0.0
2026-06-06,2026-06-06-1400,ALL,0.8026,11233,2217,2735,1884,97,v2.0.0
2026-06-06,2026-06-06-1800,ALL,0.7831,11132,2414,2717,1834,113,v2.0.0
2026-06-07,2026-06-07-0600,ALL,0.7721,11301,2575,2758,1873,138,v2.0.0
2026-06-07,2026-06-07-1000,ALL,0.7676,11353,2639,2772,1848,131,v2.0.0
2026-06-07,2026-06-07-1400,ALL,0.7627,11349,2693,2769,1797,132,v2.0.0
2026-06-07,2026-06-07-1800,ALL,0.7273,11249,3068,2776,1709,156,v2.0.0
2026-06-08,2026-06-08-0600,ALL,0.7589,11368,2741,2771,1783,134,v2.0.0
2026-06-08,2026-06-08-1000,ALL,0.781,11349,2485,2791,1866,120,v2.0.0
2026-06-08,2026-06-08-1400,ALL,0.7723,11494,2617,2808,1839,120,v2.0.0
2026-06-08,2026-06-08-1800,ALL,0.783,11546,2505,2830,1889,108,v2.0.0
2026-06-09,2026-06-09-1000,ALL,0.7889,11564,2441,2842,1915,107,v2.0.0
2026-06-09,2026-06-09-1400,ALL,0.7592,11396,2744,2812,1798,123,v2.0.0
2026-06-09,2026-06-09-1800,ALL,0.7704,11252,2583,2778,1797,112,v2.0.0
2026-06-10,2026-06-10-1000,ALL,0.7579,11276,2730,2786,1798,127,v2.0.0
2026-06-10,2026-06-10-1400,ALL,0.7712,11419,2613,2801,1829,121,v2.0.0
2026-06-10,2026-06-10-1800,ALL,0.7591,11376,2740,2797,1792,125,v2.0.0
2026-06-11,2026-06-11-0600,ALL,0.7555,11229,2745,2788,1775,126,v2.0.0
2026-06-11,2026-06-11-1000,ALL,0.7612,11250,2687,2774,1818,135,v2.0.0
2026-06-11,2026-06-11-1400,ALL,0.7619,11331,2698,2776,1789,130,v2.0.0
2026-06-11,2026-06-11-1800,ALL,0.7557,11409,2787,2807,1774,129,v2.0.0
2026-06-12,2026-06-12-1000,ALL,0.7457,11407,2901,2808,1764,131,v2.0.0
2026-06-12,2026-06-12-1400,ALL,0.7448,11462,2925,2806,1749,131,v2.0.0
2026-06-13,2026-06-13-0600,ALL,0.743,11364,2920,2774,1733,140,v2.0.0
2026-06-13,2026-06-13-1000,ALL,0.7325,11406,3051,2808,1734,149,v2.0.0
2026-06-13,2026-06-13-1400,ALL,0.7275,11309,3082,2791,1693,148,v2.0.0
2026-06-14,2026-06-14-0600,ALL,0.7161,11441,3248,2799,1670,158,v2.0.0
2026-06-14,2026-06-14-1000,ALL,0.7195,11386,3194,2789,1667,158,v2.0.0
2026-06-14,2026-06-14-1400,ALL,0.7095,11437,3323,2813,1624,157,v2.0.0
2026-06-15,2026-06-15-0600,ALL,0.7158,11468,3259,2814,1648,149,v2.0.0
