as_of_date,collected_at,collection_window_id,offer_id,machine_id,host_id,cluster_id,gpu_name,silicon_id,gpu_model,form_factor,num_gpus,gpu_frac,dph_total,min_bid,per_gpu_dph,is_bid,storage_cost_per_gb_mo,internet_down_cost_per_tb,internet_up_cost_per_tb,vram_cost_per_hour,dlperf,dlperf_per_dphtotal,total_flops,score,verification,reliability,rentable,rented,hosting_type,is_vm_deverified,inet_down_mbps,inet_up_mbps,static_ip,gpu_max_power_w,gpu_mem_bw_gbps,compute_cap,bw_nvlink_gbps,pci_gen,cpu_cores,cpu_ram_mb,disk_bw_mbps,disk_space_gb,geolocation,driver_version,duration_seconds
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,40455905,57658,436398,,B200,b200-sxm-180gb,B200,SXM,8,1.0,27.506944444444443,27.496,3.4383680555555554,False,0.625,10.24,10.24,0.019197312376267324,4174.480547829186,151.7609691712706,476.479488,344.65350029458364,deverified,0.9865343,False,False,0,False,6128.5,4863.3,False,1000.0,6163.6,1000,956.25,5.0,256,2321791,4920.0,1407.0,"Alabama, US",590.48.01,5183156.592921019
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,40455940,57662,436398,,B200,b200-sxm-180gb,B200,SXM,8,1.0,27.506944444444443,22.5,3.4383680555555554,False,0.625,10.24,10.24,0.019197312376267324,3391.1060456877576,123.28181534436686,476.479488,290.8210151448052,deverified,0.9968619,True,False,0,False,6981.8,5067.8,False,1000.0,6151.4,1000,956.25,5.0,256,2321791,3500.5472944706203,617.0,"Alabama, US",590.48.01,5183156.592921019
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,35530068,82932,260094,,B200,b200-sxm-180gb,B200,SXM,1,1.0,4.045138888888888,6.25,4.045138888888888,False,0.125,0.0012799999999999999,0.0012799999999999999,0.022583020195354464,509.8529617310624,126.04090384424549,59.559936,338.82711696927316,verified,0.9973099,False,False,0,True,21673.8,10912.7,True,1000.0,6225.6,1000,956.25,5.0,26,362565,480.8737569951012,1007.8552850121941,"Virginia, US",580.126.20,19963917.88290429
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,40456046,57666,436398,,B200,b200-sxm-180gb,B200,SXM,8,1.0,32.50694444444444,32.496,4.063368055555555,False,0.625,10.24,10.24,0.022687732808315927,3920.342770833763,120.60016214485407,476.479488,301.7736357603043,verified,0.9964891,False,False,0,False,6984.5,5078.8,False,1000.0,6154.5,1000,956.25,5.0,256,2321791,4719.7,453.0,"Alabama, US",590.48.01,5183156.592921019
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,41955951,56359,411709,,B200,b200-sxm-180gb,B200,SXM,8,1.0,33.30208333333332,19.2,4.162760416666665,False,0.18749999999999997,43.75,37.5,0.023246200077443695,4542.228364108877,136.39472097417965,476.479488,313.93799249775117,verified,0.9966192,False,False,0,False,4096.4,3473.6,False,1000.0,6130.6,1000,956.25,5.0,384,2321859,6026.0,2348.3562736213576,"Maryland, US",595.71.05,44669827.88290429
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,41627570,140979,463413,,B200,b200-sxm-180gb,B200,SXM,1,1.0,4.261111111111111,3.6249999999999996,4.261111111111111,False,1.0,0.125,0.125,0.02373485893793051,509.8529617310624,119.65258554314372,59.559936,243.33112662347887,verified,0.9637375,False,False,0,False,21224.2,9364.4,True,1000.0,6165.8,1000,0.0,5.0,26,362562,1121.409777659748,1927.0,"Virginia, US",595.71.05,6161775.592921019
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,33945601,56166,379418,,B200,b200-sxm-180gb,B200,SXM,8,1.0,34.302083333333336,35.896,4.287760416666667,False,0.18749999999999997,0.125,3.75,0.023944284163853427,2011.8409182344592,58.65069181612756,476.479488,155.58674976830002,verified,0.9983379,False,False,0,False,22390.9,3606.2,True,1000.0,6194.0,1000,0.0,5.0,192,2043912,38297.6,14086.0,"Oregon, US",580.126.09,473637.88290429115
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,41231097,137788,447869,,B200,b200-sxm-180gb,B200,SXM,8,1.0,34.80972222222223,33.199999999999996,4.351215277777778,False,0.875,12.5,12.5,0.024293326207058288,5010.939759642154,143.9523052684176,476.479488,428.5298964362085,verified,0.9905676,False,False,1,False,85282.1,17776.1,True,1000.0,6157.9,1000,900.0,5.0,192,2043910,40858.0,21888.422965489513,"Virginia, US",595.71.05,3202324.882904291
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,41484741,42781,224078,,B200,b200-sxm-180gb,B200,SXM,8,1.0,35.00138888888889,35.0,4.375173611111111,False,0.125,1.25,1.25,0.02443294302434023,4735.8934386107885,135.3058718225375,476.479488,319.30706270112717,verified,0.9939921,False,False,1,False,4509.8,4816.9,False,1000.0,6143.2,1000,900.0,5.0,240,3095878,13926.4,40716.6,"Slovenia, SI",580.159.03,15286299.882904291
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,36083207,96942,379418,,B200,b200-sxm-180gb,B200,SXM,8,1.0,35.00213675213676,34.9986,4.375267094017095,False,0.19230769230769232,0.12820512820512822,3.846153846153846,0.02505942874291306,5010.854881616024,143.15854249412726,476.479488,373.97729560185786,verified,0.9969785,False,False,0,False,21484.1,3446.7,True,1000.0,6188.0,1000,956.25,5.0,192,2043912,33498.033726924376,19871.22104737204,"Oregon, US",580.126.09,473637.88290429115
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,40456138,57673,436398,,B200,b200-sxm-180gb,B200,SXM,8,1.0,35.00694444444444,22.5,4.375868055555555,False,0.625,10.24,10.24,0.02443294302434023,4176.364124024863,119.30101842086495,476.479488,250.61747021892376,verified,0.9900938,False,False,0,False,4973.3,2923.8,False,1000.0,6140.3,1000,956.25,5.0,256,2321791,5891.0,1217.5,"Alabama, US",590.48.01,5183156.592921019
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,42378379,68547,447869,,B200,b200-sxm-180gb,B200,SXM,8,1.0,35.80972222222223,34.0,4.476215277777778,False,0.875,12.5,12.5,0.02499141029346801,4977.383207759705,138.99530347853187,476.479488,349.0894685547175,verified,0.9697924,True,False,1,False,89844.5,18013.7,False,1000.0,6066.3,1000,900.0,5.0,192,2043910,40550.0,77.0,"Virginia, US",595.71.05,3171524.882904291
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,41937871,81183,447869,,B200,b200-sxm-180gb,B200,SXM,8,1.0,35.80972222222223,34.0,4.476215277777778,False,0.875,12.5,12.5,0.02499141029346801,4996.142989818981,139.51917746847403,476.479488,265.44940641709843,verified,0.9457883,False,False,1,False,52293.5,12629.8,False,1000.0,6068.8,1000,900.0,5.0,192,2043910,40550.0,4411.0,"Virginia, US",595.71.05,3197542.882904291
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,41959229,67795,447869,,B200,b200-sxm-180gb,B200,SXM,8,1.0,35.80972222222223,34.0,4.476215277777778,False,0.875,12.5,12.5,0.02499141029346801,5013.8303791141,140.013104485985,476.479488,254.44426459972476,verified,0.9413304,False,False,1,False,39426.1,11321.1,False,700.0,6137.4,1000,900.0,5.0,192,2043910,40550.0,1534.0,"Virginia, US",595.71.05,3171985.882904291
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,41937892,99252,447869,,B200,b200-sxm-180gb,B200,SXM,8,1.0,36.00972222222222,31.504,4.501215277777778,False,0.875,12.5,12.5,0.02513102711074995,5001.664882513714,138.89762469278642,476.479488,280.5295433469721,verified,0.9540226,False,False,1,False,63438.8,13216.9,False,1000.0,6061.9,1000,900.0,5.0,192,2043910,40550.0,2751.6470981357515,"Virginia, US",595.71.05,3173023.882904291
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,37112598,113249,317686,,B200,b200-sxm-180gb,B200,SXM,8,1.0,40.00208333333333,38.008,5.000260416666666,False,0.18749999999999997,2.5,3.75,0.027923363456388833,3451.634086080723,86.28635807086856,476.479488,149.20281614385271,verified,0.995241,True,False,0,False,862.6,824.9,True,1000.0,6165.7,1000,900.0,5.0,128,3096083,7098.0,579.0,", US",580.126.20,472349.88290429115
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,40456178,57685,436398,,B200,b200-sxm-180gb,B200,SXM,8,1.0,40.00694444444444,22.5,5.000868055555555,False,0.625,10.24,10.24,0.027923363456388833,3315.0697810592533,82.86235870031808,476.479488,189.98540735684867,verified,0.9955475,False,False,0,False,7195.0,3883.9,False,1000.0,6157.2,1000,956.25,5.0,256,2321791,3766.5002564102565,849.0,"Alabama, US",590.48.01,5183156.592921019
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,40456224,57687,436398,,B200,b200-sxm-180gb,B200,SXM,8,1.0,40.00694444444444,22.5,5.000868055555555,False,0.625,10.24,10.24,0.027923363456388833,1613.9618301130308,40.34204192610249,476.479488,90.92468020057213,verified,0.9859369,False,False,0,False,6128.5,4551.6,False,1000.0,6168.2,1000,956.25,5.0,256,2321791,1533.933506120708,2087.0,"Alabama, US",590.48.01,5183156.592921019
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,40282084,57675,436398,,B200,b200-sxm-180gb,B200,SXM,8,1.0,45.00694444444444,22.5,5.625868055555555,False,0.625,10.24,10.24,0.031413783888437435,4085.788255023774,90.78128509850694,476.479488,218.96537962235683,verified,0.9963186,True,False,0,False,4452.9,4408.8,False,1000.0,6146.4,1000,956.25,5.0,256,2321791,5419.577,114.155033483843,"Alabama, US",590.48.01,1208756.5929210186
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,40284057,57659,436398,,B200,b200-sxm-180gb,B200,SXM,8,1.0,47.50694444444444,22.5,5.938368055555555,False,0.625,10.24,10.24,0.03315899410446174,2964.4040647462853,62.399383909291785,476.479488,151.09508574258354,deverified,0.9951573,True,False,0,False,6889.6,3985.1,False,1000.0,6160.3,1000,956.25,5.0,256,2321791,3534.4500000000003,166.0,"Alabama, US",590.48.01,5183156.592921019
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,37210964,71029,401572,,B200,b200-sxm-180gb,B200,SXM,8,1.0,47.909722222222214,47.0,5.988715277777777,False,0.875,12.5,12.5,0.03343822773902562,5001.964039676938,104.40394574771405,476.479488,317.5233706124407,verified,0.9971731,False,False,0,False,68072.8,14260.3,False,1000.0,6068.8,1000,956.25,5.0,192,2043910,31641.6,22688.0,"Ohio, US",595.71.05,11827827.882904291
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,40455955,57663,436398,,B200,b200-sxm-180gb,B200,SXM,4,0.5,13.756944444444445,11.25,6.878472222222222,False,0.625,10.24,10.24,0.019197312376267324,2135.6069700295675,155.2384672813012,238.239744,355.98991303506705,deverified,0.9958122,False,False,0,False,5972.4,4700.2,False,1000.0,6093.4,1000,956.25,5.0,256,1160895,4527.259999999999,612.5,"Alabama, US",590.48.01,5183156.592921019
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,40455939,57662,436398,,B200,b200-sxm-180gb,B200,SXM,4,0.5,13.756944444444445,11.25,6.878472222222222,False,0.625,10.24,10.24,0.019197312376267324,1901.329338229336,138.2086949545807,238.239744,326.16362787222704,deverified,0.9968619,True,False,0,False,6981.8,5067.8,False,1000.0,6157.2,1000,956.25,5.0,256,1160895,3500.5472944706203,308.5,"Alabama, US",590.48.01,5183156.592921019
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,40456045,57666,436398,,B200,b200-sxm-180gb,B200,SXM,4,0.5,16.256944444444443,16.248,8.128472222222221,False,0.625,10.24,10.24,0.022687732808315927,2134.238031848812,131.2816217796792,238.239744,322.94979399989205,verified,0.9964891,False,False,0,False,6984.5,5078.8,False,1000.0,6151.8,1000,956.25,5.0,256,1160895,4719.7,226.5,"Alabama, US",590.48.01,5183156.592921019
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,40456066,57668,436398,,B200,b200-sxm-180gb,B200,SXM,4,0.5,16.256944444444443,11.25,8.128472222222221,False,0.625,10.24,10.24,0.022687732808315927,2092.7970249246446,128.73249533923487,238.239744,286.8610697077745,verified,0.9941956,True,False,0,False,5360.8,3620.4,False,1000.0,6153.3,1000,956.25,5.0,256,1160895,5000.000000000001,739.5,"Alabama, US",590.48.01,5183156.592921019
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,41955950,56359,411709,,B200,b200-sxm-180gb,B200,SXM,4,0.5,16.65208333333333,9.6,8.326041666666665,False,0.18749999999999997,43.75,37.5,0.023246200077443695,2436.89507465552,146.34175351365568,238.239744,343.10877277776615,verified,0.9966192,False,False,0,False,4096.4,3473.6,False,1000.0,6035.5,1000,956.25,5.0,384,1160929,6026.0,1174.1781368106788,"Maryland, US",595.71.05,44669827.88290429
2026-06-24,2026-06-24T15:26:00.142124+00:00,2026-06-24-1000,33945600,56166,379418,,B200,b200-sxm-180gb,B200,SXM,4,0.5,17.152083333333334,17.948,8.576041666666667,False,0.18749999999999997,0.125,3.75,0.023944284163853424,1564.0185565727588,91.18534035648297,238.239744,238.04877071701767,verified,0.9983379,False,False,0,False,22390.9,3606.2,True,1000.0,6206.3,1000,0.0,5.0,192,1021956,38297.6,7043.0,"Oregon, US",580.126.09,473637.88290429115
