as_of_date,collected_at,collection_window_id,offer_id,machine_id,host_id,cluster_id,gpu_name,silicon_id,gpu_model,form_factor,num_gpus,gpu_frac,dph_total,min_bid,per_gpu_dph,is_bid,storage_cost_per_gb_mo,internet_down_cost_per_tb,internet_up_cost_per_tb,vram_cost_per_hour,dlperf,dlperf_per_dphtotal,total_flops,score,verification,reliability,rentable,rented,hosting_type,is_vm_deverified,inet_down_mbps,inet_up_mbps,static_ip,gpu_max_power_w,gpu_mem_bw_gbps,compute_cap,bw_nvlink_gbps,pci_gen,cpu_cores,cpu_ram_mb,disk_bw_mbps,disk_space_gb,geolocation,driver_version,duration_seconds
2026-09-02,2026-09-02T13:07:40.857663+00:00,2026-09-02-0600,48691663,148661,667715,,H200,h200-sxm-141gb,H200,SXM,1,1.0,2.7653508771929824,2.5,2.7653508771929824,False,0.19736842105263158,2.6315789473684212,3.9473684210526314,0.01968042014182642,381.67169079520403,138.01926328518084,53.526528000000006,250.18332550229798,unverified,0.9606767,True,False,0,False,24794.4,7722.3,True,700.0,4066.0,900,478.1160888671875,5.0,24,241607,5126.0,3054.1062358933505,"Georgia, US",580.173.02,7111315.548134565
2026-09-02,2026-09-02T13:07:40.857663+00:00,2026-09-02-0600,45379677,35021,131937,,H200,h200-sxm-141gb,H200,SXM,8,1.0,29.47587719298245,26.315789,3.684484649122806,False,0.19736842105263158,2.6315789473684212,3.9473684210526314,0.026240560189101887,3192.7609901056703,108.31775995001756,428.21222400000005,231.0064213149519,verified,0.9941846,False,False,1,True,7835.3,7446.4,False,700.0,4001.1,900,478.1160888671875,5.0,192,2063732,8266.400000000001,2078.0,"France, FR",570.124.06,5087778.548134565
2026-09-02,2026-09-02T13:07:40.857663+00:00,2026-09-02-0600,45379678,35021,131937,,H200,h200-sxm-141gb,H200,SXM,4,0.5,14.739035087719298,13.157895,3.6847587719298245,False,0.19736842105263158,2.6315789473684212,3.9473684210526314,0.026240560189101893,1756.819262045852,119.19499828788997,214.10611200000002,252.10611517128012,verified,0.9941846,False,False,1,True,7835.3,7446.4,False,700.0,3988.7,900,478.1160888671875,5.0,192,1031866,8266.400000000001,1039.0,"France, FR",570.124.06,5087778.548134565
2026-09-02,2026-09-02T13:07:40.857663+00:00,2026-09-02-0600,48493812,148426,634408,,H200,h200-sxm-141gb,H200,SXM,4,1.0,15.480409356725145,15.789473684210526,3.8701023391812863,False,0.13157894736842107,2.6315789473684212,3.9473684210526314,0.02756195982719595,1183.7450210779323,76.46729448815762,214.10611200000002,129.96626574212152,unverified,0.9715162,True,False,0,False,6886.0,6531.0,False,700.0,2857.3,900,0.0,5.0,64,786432,6849.999831729575,3231.9,"New Jersey, US",580.159.04,677337895.5481346
2026-09-02,2026-09-02T13:07:40.857663+00:00,2026-09-02-0600,48493816,148426,634408,,H200,h200-sxm-141gb,H200,SXM,2,0.5,7.7409356725146194,7.894736842105263,3.8704678362573097,False,0.13157894736842107,2.6315789473684212,3.9473684210526314,0.02756195982719595,783.3206005134203,101.19197906458781,107.05305600000001,175.05856811506126,unverified,0.9715162,True,False,0,False,6886.0,6531.0,False,700.0,2857.3,900,0.0,5.0,64,393216,6849.999831729575,1615.95,"New Jersey, US",580.159.04,677337895.5481346
2026-09-02,2026-09-02T13:07:40.857663+00:00,2026-09-02-0600,48493809,148426,634408,,H200,h200-sxm-141gb,H200,SXM,1,0.25,3.8711988304093565,3.9473684210526314,3.8711988304093565,False,0.13157894736842107,2.6315789473684212,3.9473684210526314,0.02756195982719595,442.2552174406812,114.24244447653837,53.526528000000006,199.36777071885263,unverified,0.9715162,True,False,0,False,6886.0,6531.0,False,700.0,2857.3,900,0.0,5.0,64,196608,6849.999831729575,807.975,"New Jersey, US",580.159.04,677337895.5481346
2026-09-02,2026-09-02T13:07:40.857663+00:00,2026-09-02-0600,37918231,132805,275330,,H200,h200-sxm-141gb,H200,SXM,8,1.0,31.580409356725138,31.576,3.9475511695906422,False,0.13157894736842107,1.3157894736842106,1.3157894736842106,0.02811488591689488,2415.475735718751,76.48652392165299,428.21222400000005,122.04609056914492,verified,0.9981479,False,False,0,False,845.5,747.3,True,700.0,4012.3,900,478.1160888671875,5.0,112,2063746,19203.8,683.905099418188,"Italy, IT",580.95.05,10372977.548134565
2026-09-02,2026-09-02T13:07:40.857663+00:00,2026-09-02-0600,46420752,116283,539016,,H200,h200-sxm-141gb,H200,SXM,8,1.0,31.581140350877185,15.473684,3.947642543859648,False,0.19736842105263158,2.6315789473684212,3.9473684210526314,0.02811488591689488,3298.9585930023845,104.45976796118934,428.21222400000005,259.37272802413713,verified,0.9983935,False,False,0,False,18940.0,6189.1,False,700.0,4012.8,900,478.1160888671875,5.0,224,2063883,27013.86,11798.417221283366,", CA",590.48.01,1119970.5481345654
2026-09-02,2026-09-02T13:07:40.857663+00:00,2026-09-02-0600,37918230,132805,275330,,H200,h200-sxm-141gb,H200,SXM,4,0.5,15.790935672514617,15.788,3.9477339181286544,False,0.13157894736842107,1.3157894736842106,1.3157894736842106,0.028114885916894882,1314.1647756129669,83.22272998048972,214.10611200000002,138.60923753602953,verified,0.9981479,False,False,0,False,845.5,747.3,True,700.0,3981.7,900,478.1160888671875,5.0,112,1031873,19203.8,341.952549709094,"Italy, IT",580.95.05,10372977.548134565
2026-09-02,2026-09-02T13:07:40.857663+00:00,2026-09-02-0600,46420751,116283,539016,,H200,h200-sxm-141gb,H200,SXM,4,0.5,15.791666666666664,7.736842,3.947916666666666,False,0.19736842105263158,2.6315789473684212,3.9473684210526314,0.028114885916894882,1785.2950842108755,113.05298686295784,214.10611200000002,255.82124801173833,verified,0.9983935,False,False,0,False,18940.0,6189.1,False,700.0,3986.1,900,478.1160888671875,5.0,224,1031941,27013.86,5899.208610641683,", CA",590.48.01,1119970.5481345654
2026-09-02,2026-09-02T13:07:40.857663+00:00,2026-09-02-0600,37918227,132805,275330,,H200,h200-sxm-141gb,H200,SXM,2,0.25,7.8961988304093556,7.894,3.9480994152046778,False,0.13157894736842107,1.3157894736842106,1.3157894736842106,0.028114885916894882,713.8818225304516,90.40828857819459,107.05305600000001,149.7785015259034,verified,0.9981479,False,False,0,False,845.5,747.3,True,700.0,4018.9,900,478.1160888671875,5.0,112,515936,19203.8,170.976274854547,"Italy, IT",580.95.05,10372977.548134565
2026-09-02,2026-09-02T13:07:40.857663+00:00,2026-09-02-0600,39353736,131697,445596,,H200,h200-sxm-141gb,H200,SXM,8,1.0,31.79239766081871,31.578947,3.974049707602339,False,0.26315789473684215,2.6315789473684212,3.9473684210526314,0.028302318489674183,3783.8692307870037,119.01805177312198,428.21222400000005,289.3753017698101,verified,0.9983306,False,False,0,False,9741.1,9665.0,True,700.0,4013.5,900,478.1160888671875,5.0,224,3096031,34106.579999999994,23424.461422984834,"Saudi Arabia, SA",580.159.03,2393898.5481345654
