as_of_date,collected_at,collection_window_id,offer_id,machine_id,host_id,cluster_id,gpu_name,silicon_id,gpu_model,form_factor,num_gpus,gpu_frac,dph_total,min_bid,per_gpu_dph,is_bid,storage_cost_per_gb_mo,internet_down_cost_per_tb,internet_up_cost_per_tb,vram_cost_per_hour,dlperf,dlperf_per_dphtotal,total_flops,score,verification,reliability,rentable,rented,hosting_type,is_vm_deverified,inet_down_mbps,inet_up_mbps,static_ip,gpu_max_power_w,gpu_mem_bw_gbps,compute_cap,bw_nvlink_gbps,pci_gen,cpu_cores,cpu_ram_mb,disk_bw_mbps,disk_space_gb,geolocation,driver_version,duration_seconds
2026-09-12,2026-09-13T01:17:37.487165+00:00,2026-09-12-1800,30339469,53734,269862,,L40S,l40s-pcie-48gb,L40S,PCIe,8,1.0,3.734814814814815,1.6,0.46685185185185185,False,0.1333333333333333,0.39999999999999997,0.39999999999999997,0.010373071691123267,483.42800165994896,129.43827890538103,586.285056,137.0032893622155,unverified,0.9987553,True,False,0,False,641.1,771.5,True,350.0,625.4,890,0.0,4.0,128,515557,3293.0,2717.0,"Japan, JP",590.48.01,1518092.7172112465
2026-09-12,2026-09-13T01:17:37.487165+00:00,2026-09-12-1800,38028231,133818,269862,,L40S,l40s-pcie-48gb,L40S,PCIe,8,1.0,3.734814814814815,2.666667,0.46685185185185185,False,0.1333333333333333,0.6666666666666666,0.6666666666666666,0.010373071691123267,483.47424578583815,129.45066081136088,586.285056,135.56294824244515,unverified,0.9966681,False,False,0,False,695.6,535.1,True,350.0,625.5,890,0.0,4.0,128,1547731,26665.019999999997,8002.0,"Japan, JP",595.84,1518092.7172112465
2026-09-12,2026-09-13T01:17:37.487165+00:00,2026-09-12-1800,38027975,133716,269862,,L40S,l40s-pcie-48gb,L40S,PCIe,8,1.0,3.734814814814815,2.666667,0.46685185185185185,False,0.1333333333333333,0.6666666666666666,0.6666666666666666,0.010373071691123267,483.1505220179155,129.36398348357514,586.285056,125.08688010075957,unverified,0.9946985,False,False,0,False,353.0,593.3,True,350.0,624.8,890,0.0,4.0,128,515557,17959.184000000005,3087.1,"Japan, JP",610.43.02,1518092.7172112465
2026-09-12,2026-09-13T01:17:37.487165+00:00,2026-09-12-1800,30193763,53499,269862,,L40S,l40s-pcie-48gb,L40S,PCIe,8,1.0,3.734814814814815,1.5999999999999999,0.46685185185185185,False,0.1333333333333333,0.39999999999999997,0.39999999999999997,0.010373071691123267,0.0,0.026775089250297503,0.0,0.026072256959345806,deverified,0.9984615,False,False,0,False,511.5,622.6,True,350.0,624.3,890,0.0,4.0,128,515557,2730.7000000000003,2708.0,"Japan, JP",590.48.01,1518092.7172112465
2026-09-12,2026-09-13T01:17:37.487165+00:00,2026-09-12-1800,24964760,41598,269862,,L40S,l40s-pcie-48gb,L40S,PCIe,4,1.0,1.868148148148148,1.6,0.467037037037037,False,0.1333333333333333,0.6666666666666666,0.6666666666666666,0.010373071691123266,320.4625433634307,171.5402194847865,293.142528,187.22115310707505,verified,0.9995768,False,False,0,False,633.0,748.0,False,350.0,625.8,890,0.0,4.0,128,515565,12288.0,3761.0,"Japan, JP",580.65.06,1518092.7172112465
2026-09-12,2026-09-13T01:17:37.487165+00:00,2026-09-12-1800,30339471,53734,269862,,L40S,l40s-pcie-48gb,L40S,PCIe,4,0.5,1.868148148148148,0.7999999999999999,0.467037037037037,False,0.1333333333333333,0.39999999999999997,0.39999999999999997,0.010373071691123266,319.77900465164004,171.17432842177402,293.142528,185.89766490150225,unverified,0.9987553,True,False,0,False,641.1,771.5,True,350.0,626.1,890,0.0,4.0,128,257778,3293.0,1358.5,"Japan, JP",590.48.01,1518092.7172112465
2026-09-12,2026-09-13T01:17:37.487165+00:00,2026-09-12-1800,30339508,53735,269862,,L40S,l40s-pcie-48gb,L40S,PCIe,4,0.5,1.868148148148148,0.8,0.467037037037037,False,0.1333333333333333,0.39999999999999997,0.39999999999999997,0.010373071691123266,319.2389254094244,170.88522969973155,293.142528,171.1324746099289,unverified,0.9988945,True,False,0,False,323.1,650.1,True,350.0,625.4,890,0.0,4.0,128,257778,3219.6,1028.0,"Japan, JP",590.48.01,1518092.7172112465
2026-09-12,2026-09-13T01:17:37.487165+00:00,2026-09-12-1800,38028233,133818,269862,,L40S,l40s-pcie-48gb,L40S,PCIe,4,0.5,1.868148148148148,1.333333,0.467037037037037,False,0.1333333333333333,0.6666666666666666,0.6666666666666666,0.010373071691123266,319.9306706251344,171.2555136177365,293.142528,165.16172806584333,unverified,0.9966681,False,False,0,False,695.6,535.1,True,350.0,623.5,890,0.0,4.0,128,773865,26665.019999999997,4001.0,"Japan, JP",595.84,1518092.7172112465
2026-09-12,2026-09-13T01:17:37.487165+00:00,2026-09-12-1800,37908213,132664,269862,,L40S,l40s-pcie-48gb,L40S,PCIe,4,1.0,1.868148148148148,1.3333333333333333,0.467037037037037,False,0.1333333333333333,0.6666666666666666,0.6666666666666666,0.010373071691123266,320.416301008277,171.51546643979938,293.142528,162.59426365629201,unverified,0.9944317,True,False,0,False,384.6,613.6,True,350.0,625.6,890,0.0,4.0,128,515557,21504.0,3122.1,"Japan, JP",595.71.05,1518092.7172112465
2026-09-12,2026-09-13T01:17:37.487165+00:00,2026-09-12-1800,38549006,136651,269862,,L40S,l40s-pcie-48gb,L40S,PCIe,4,1.0,1.868148148148148,1.5999999999999999,0.467037037037037,False,0.1333333333333333,0.6666666666666666,0.6666666666666666,0.010373071691123266,320.3931792995483,171.50308963298585,293.142528,160.6880724403816,unverified,0.9886051,True,False,0,False,568.1,730.8,True,350.0,625.5,890,0.0,4.0,128,515557,21401.6,3122.1,"Japan, JP",610.43.02,1518092.7172112465
