as_of_date,collected_at,collection_window_id,offer_id,machine_id,host_id,cluster_id,gpu_name,silicon_id,gpu_model,form_factor,num_gpus,gpu_frac,dph_total,min_bid,per_gpu_dph,is_bid,storage_cost_per_gb_mo,internet_down_cost_per_tb,internet_up_cost_per_tb,vram_cost_per_hour,dlperf,dlperf_per_dphtotal,total_flops,score,verification,reliability,rentable,rented,hosting_type,is_vm_deverified,inet_down_mbps,inet_up_mbps,static_ip,gpu_max_power_w,gpu_mem_bw_gbps,compute_cap,bw_nvlink_gbps,pci_gen,cpu_cores,cpu_ram_mb,disk_bw_mbps,disk_space_gb,geolocation,driver_version,duration_seconds
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,45761361,98863,53225,,RTX 3090,3090-pcie-24gb,3090,PCIe,2,1.0,0.1374074074074074,0.13066666666666668,0.0687037037037037,False,0.3666666666666667,2.6666666666666665,4.0,0.002777777777777778,10.000000000000002,72.77628032345015,71.036928,58.92636098421826,deverified,0.9897162,True,False,0,False,867.0,885.9,False,350.0,804.4,860,0.0,3.0,,128643,38.25772810721572,242.8,"Quebec, CA",595.58.03,15515040.985729694
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,30923928,54626,61866,,RTX 3090,3090-pcie-24gb,3090,PCIe,2,1.0,0.1542222222222222,0.152,0.0771111111111111,False,0.19999999999999998,2.6666666666666665,2.6666666666666665,0.0031666666666666666,73.69538301862292,477.85190718127257,71.036928,281.54054745705196,deverified,0.9900347,False,False,0,False,518.4,126.9,False,370.0,803.3,860,0.0,3.0,24,64232,1632.0,1443.0,", CN",570.211.01,472763.98572969437
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,45894723,145487,611393,,RTX 3090,3090-pcie-24gb,3090,PCIe,4,1.0,0.3755555555555556,0.37333333333333335,0.0938888888888889,False,0.19999999999999998,2.6666666666666665,4.0,0.003888888888888889,146.88079500386579,391.10270859017515,142.073856,220.88500629959077,unverified,0.9382946,False,False,0,False,1692.5,587.0,True,300.0,803.3,860,0.0,4.0,48,128645,3049.0113419172803,1301.0,"France, FR",595.71.05,2665652.5633499622
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,45714015,145240,125418,,RTX 3090,3090-pcie-24gb,3090,PCIe,4,1.0,0.3755555555555556,0.32,0.0938888888888889,False,0.19999999999999998,0.013333333333333334,0.013333333333333334,0.003888888888888889,139.64568816466723,371.8376312076938,143.081472,172.90265828051798,deverified,0.9544255,True,False,0,False,205.0,190.7,True,390.0,824.5,860,0.0,3.0,72,128631,4501.0,3140.1,", CN",570.133.07,20562585.563349962
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,42093970,141296,483833,,RTX 3090,3090-pcie-24gb,3090,PCIe,4,1.0,0.382962962962963,0.3733333,0.09574074074074075,False,0.8666666666666666,16.0,17.333333333333332,0.003888888888888889,140.8639453655561,367.82654979400525,142.073856,307.5637953225451,unverified,0.9929495,False,False,0,False,1204.5,1017.5,False,370.0,805.5,860,0.0,3.0,80,31960,881.2,2884.6,", US",580.159.03,12614342.985729694
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,45001223,144174,237003,,RTX 3090,3090-pcie-24gb,3090,PCIe,1,1.0,0.09585185185185185,0.09333333333333334,0.09585185185185185,False,0.22666666666666668,10.666666666666666,12.0,0.003888888888888889,44.60559630349915,465.35977596386283,35.518464,234.84087636556725,unverified,0.9810295,False,False,0,False,336.3,289.4,False,215.0,805.4,860,0.0,3.0,12,19915,63.4,317.0,"India, IN",580.159.03,1487310.9857296944
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,39707892,97859,317118,,RTX 3090,3090-pcie-24gb,3090,PCIe,1,1.0,0.10222222222222221,0.11333333333333334,0.10222222222222221,False,0.19999999999999998,2.6666666666666665,4.0,0.004166666666666667,40.394710225038935,395.1656435058157,35.770368,218.12509347327057,unverified,0.9946086,False,False,0,False,531.8,63.7,False,320.0,804.3,860,0.0,2.0,4,64232,2587.0,650.3,"South Africa, ZA",580.142,137374805.9857297
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,45507675,68094,344939,,RTX 3090,3090-pcie-24gb,3090,PCIe,8,1.0,0.8555555555555556,0.8533333333333334,0.10694444444444445,False,0.19999999999999998,2.6666666666666665,4.0,0.0044444444444444444,200.98496136980617,234.91748731535785,282.13248,193.07536801774313,deverified,0.9936256,True,False,0,False,829.5,797.8,False,310.0,805.2,860,0.0,3.0,80,386818,691.07,1511.7,"California, US",580.126.09,15249796.985729694
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,45207719,80095,467312,,RTX 3090,3090-pcie-24gb,3090,PCIe,8,1.0,0.8562962962962963,0.856,0.10703703703703704,False,0.2666666666666666,2.6666666666666665,4.0,0.0044444444444444444,196.2578234530598,229.1938249668086,282.13248,191.8279582188605,verified,0.9971938,False,False,0,False,744.8,693.4,False,280.0,805.1,860,0.0,3.0,80,386820,3229.0,3283.0,", CA",580.126.09,7379439.985729694
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,46002031,84216,443829,,RTX 3090,3090-pcie-24gb,3090,PCIe,12,1.0,1.2896296296296297,1.2,0.10746913580246914,False,0.8666666666666666,16.0,17.333333333333332,0.0044444444444444444,262.5696774767056,203.60084123696296,426.22156800000005,186.94830434954804,deverified,0.9812383,False,False,0,True,3703.9,3549.3,False,220.0,805.5,860,0.0,4.0,192,515784,2508.0,2793.0,", US",580.159.03,15721290.985729694
