as_of_date,collected_at,collection_window_id,offer_id,machine_id,host_id,cluster_id,gpu_name,silicon_id,gpu_model,form_factor,num_gpus,gpu_frac,dph_total,min_bid,per_gpu_dph,is_bid,storage_cost_per_gb_mo,internet_down_cost_per_tb,internet_up_cost_per_tb,vram_cost_per_hour,dlperf,dlperf_per_dphtotal,total_flops,score,verification,reliability,rentable,rented,hosting_type,is_vm_deverified,inet_down_mbps,inet_up_mbps,static_ip,gpu_max_power_w,gpu_mem_bw_gbps,compute_cap,bw_nvlink_gbps,pci_gen,cpu_cores,cpu_ram_mb,disk_bw_mbps,disk_space_gb,geolocation,driver_version,duration_seconds
2026-07-09,2026-07-09T20:31:29.709474+00:00,2026-07-09-1400,40843835,53466,354558,,RTX A6000,a6000-pcie-48gb,RTX A6000,PCIe,2,1.0,0.6185185185185186,0.39999999999999997,0.3092592592592593,False,0.46666666666666673,2.6666666666666665,4.0,0.006390449057115725,108.94913727337901,176.14531175935528,72.25344,109.87723673349494,unverified,0.9907811,True,False,0,False,94.5,93.9,True,300.0,651.5,860,56.24800109863281,4.0,128,64095,209.75,1247.0,"Romania, RO",580.126.09,76631806.78811455
2026-07-09,2026-07-09T20:31:29.709474+00:00,2026-07-09-1400,42621247,141683,572390,,RTX A6000,a6000-pcie-48gb,RTX A6000,PCIe,1,1.0,0.3622222222222223,0.32,0.3622222222222223,False,0.19999999999999998,2.6666666666666665,4.0,0.007501831501831503,17.461005916634882,48.20523105819445,36.12672,46.810034520842606,unverified,0.9757925,False,False,0,False,908.6,929.8,True,300.0,647.8,860,0.0,3.0,28,64028,19.9,6505.0,"Washington, US",595.71.05,1668997.9661529064
2026-07-09,2026-07-09T20:31:29.709474+00:00,2026-07-09-1400,30565039,47281,349988,,RTX A6000,a6000-pcie-48gb,RTX A6000,PCIe,2,1.0,0.7629629629629628,0.39999999999999997,0.3814814814814814,False,0.2666666666666666,0.0026666666666666666,0.004,0.007918599918599917,108.94913727337901,142.79741293112784,72.25344,154.3384701332588,unverified,0.9960437,True,False,0,True,953.2,754.4,True,300.0,651.5,860,56.24800109863281,4.0,32,128653,4237.0,723.0,"Italy, IT",580.159.03,2705316.7881145477
2026-07-09,2026-07-09T20:31:29.709474+00:00,2026-07-09-1400,20805221,14804,45423,,RTX A6000,a6000-pcie-48gb,RTX A6000,PCIe,8,1.0,3.0955555555555554,2.986667,0.3869444444444444,False,0.19999999999999998,0.0026666666666666666,0.004,0.00805752272418939,263.78545553106306,85.21425340199454,289.01376,79.66522742021856,verified,0.9896513,False,False,0,False,854.9,451.9,True,300.0,650.3,860,0.0,3.0,48,386681,3138.9,1466.0,"Romania, RO",550.144.03,28870105.788114548
2026-07-09,2026-07-09T20:31:29.709474+00:00,2026-07-09-1400,44221243,143501,36058,,RTX A6000,a6000-pcie-48gb,RTX A6000,PCIe,7,1.0,2.7088888888888887,2.6133333333333333,0.38698412698412693,False,0.19999999999999998,2.6666666666666665,4.0,0.00805752272418939,203.54198025160002,75.13854890337983,252.88703999999998,57.61660268495244,unverified,0.9439111,True,False,0,False,1201.3,908.2,True,300.0,651.3,860,0.0,3.0,80,515367,2151.4067486630356,1584.9,"Maryland, US",595.71.05,15795400.788114548
2026-07-09,2026-07-09T20:31:29.709474+00:00,2026-07-09-1400,32036081,37274,250721,,RTX A6000,a6000-pcie-48gb,RTX A6000,PCIe,6,1.0,2.322222222222222,2.24,0.387037037037037,False,0.19999999999999998,0.0026666666666666666,0.004,0.00805752272418939,220.99684323124725,95.1661047407285,216.76031999999998,89.78988709683625,deverified,0.9906891,True,False,0,False,749.4,343.5,True,300.0,651.3,860,0.0,3.0,36,386877,3300.0,897.0,"Romania, RO",580.159.03,28870105.788114548
2026-07-09,2026-07-09T20:31:29.709474+00:00,2026-07-09-1400,43833759,142664,367287,,RTX A6000,a6000-pcie-48gb,RTX A6000,PCIe,2,1.0,0.7755555555555556,0.7466667,0.3877777777777778,False,0.19999999999999998,2.6,3.9333333333333336,0.00805752272418939,91.7566472293807,118.31086318974589,72.25344,91.45838692403697,unverified,0.9545355,False,False,0,False,862.6,843.3,True,300.0,650.3,860,0.0,4.0,32,128731,1788.0,1395.8,"Texas, US",595.71.05,15467299.788114548
2026-07-09,2026-07-09T20:31:29.709474+00:00,2026-07-09-1400,42852810,141807,595293,,RTX A6000,a6000-pcie-48gb,RTX A6000,PCIe,1,1.0,0.38814814814814813,0.3333333333333333,0.38814814814814813,False,0.1333333333333333,0.0,3.4133333333333336,0.00805752272418939,54.47221465859,140.33872097155822,36.12672,201.91751022849607,unverified,0.973825,True,False,0,False,31639.8,14792.1,True,300.0,651.4,860,0.0,4.0,48,128659,3690.0,492.0,"Germany, DE",595.71.05,682063262.7881145
2026-07-09,2026-07-09T20:31:29.709474+00:00,2026-07-09-1400,17950264,32969,185269,,RTX A6000,a6000-pcie-48gb,RTX A6000,PCIe,1,1.0,0.389037037037037,0.3013333,0.389037037037037,False,0.21333333333333335,0.0026666666666666666,0.004,0.00805752272418939,54.425028915841274,139.89678034346102,36.12672,154.96388225239804,verified,0.9993112,False,False,0,False,946.2,926.3,True,300.0,649.4,860,0.0,4.0,12,64172,3863.1000000000004,1341.0,"North Carolina, US",550.120,15928105.788114548
2026-07-09,2026-07-09T20:31:29.709474+00:00,2026-07-09-1400,31805815,10234,45423,,RTX A6000,a6000-pcie-48gb,RTX A6000,PCIe,8,1.0,3.202222222222222,2.986666666666667,0.40027777777777773,False,0.19999999999999998,2.6666666666666665,4.0,0.008335368335368335,271.00014900489526,84.62877658029346,289.01376,86.49498941609035,deverified,0.9929741,True,False,0,False,741.4,392.0,False,300.0,650.7,860,0.0,3.0,48,386681,3831.0,1563.0,"Romania, RO",550.144.03,28870105.788114548
2026-07-09,2026-07-09T20:31:29.709474+00:00,2026-07-09-1400,31805858,10958,64430,,RTX A6000,a6000-pcie-48gb,RTX A6000,PCIe,8,1.0,3.202222222222222,2.986666666666667,0.40027777777777773,False,0.19999999999999998,2.6666666666666665,4.0,0.008335368335368335,266.42422346891533,83.19979220056344,289.01376,73.76826356588163,deverified,0.9805105,True,False,0,False,678.7,691.2,False,300.0,686.9,860,0.0,3.0,48,386875,3622.0,1473.0,"Romania, RO",570.181,28870105.788114548
2026-07-09,2026-07-09T20:31:29.709474+00:00,2026-07-09-1400,13362100,29492,3245,,RTX A6000,a6000-pcie-48gb,RTX A6000,PCIe,3,1.0,1.202222222222222,1.281,0.4007407407407407,False,0.19999999999999998,6.666666666666667,6.666666666666667,0.008335368335368335,159.16638075903094,132.3934775259962,108.38015999999999,143.2713966869032,verified,0.9975978,False,False,0,True,917.3,475.7,True,300.0,651.5,860,0.0,4.0,48,257593,5103.0,1810.0,"Slovakia, SK",580.142,9858249.788114548
2026-07-09,2026-07-09T20:31:29.709474+00:00,2026-07-09-1400,25600263,31530,95543,,RTX A6000,a6000-pcie-48gb,RTX A6000,PCIe,2,1.0,0.8288888888888889,0.7733333,0.41444444444444445,False,0.19999999999999998,0.0026666666666666666,0.004,0.00861321394654728,89.80716683829199,108.3464479282343,72.25344,126.44503059542603,verified,0.9989533,False,False,0,False,933.5,927.0,True,220.0,649.5,860,0.0,4.0,12,128601,1937.0,195.0,"California, US",560.35.05,43557421.78811455
2026-07-09,2026-07-09T20:31:29.709474+00:00,2026-07-09-1400,42716907,109343,535477,,RTX A6000,a6000-pcie-48gb,RTX A6000,PCIe,2,1.0,0.8288888888888889,0.64,0.41444444444444445,False,0.19999999999999998,2.6666666666666665,4.0,0.00861321394654728,108.88785503408484,131.36604494728732,72.25344,118.57288212930497,unverified,0.9699538,True,False,0,False,819.6,759.4,False,300.0,650.2,860,0.0,4.0,64,64137,1190.0,132.0,"Florida, US",595.71.05,914432.7881145477
2026-07-09,2026-07-09T20:31:29.709474+00:00,2026-07-09-1400,44333374,51579,314882,,RTX A6000,a6000-pcie-48gb,RTX A6000,PCIe,6,1.0,2.522222222222222,2.64,0.42037037037037034,False,0.19999999999999998,2.7306666666666666,4.096,0.008752136752136753,323.80102373060134,128.37926050993005,216.76031999999998,167.90040166343377,verified,0.9988972,False,False,0,True,2295.3,2246.5,False,300.0,651.6,860,56.24800109863281,3.0,48,1548048,3445.0,3632.0,"Virginia, US",580.95.05,2183305.7881145477
