chip_slug,as_of_date,utilization,utilization_naive,rented_gpus_mean,base_total_gpus,n_cycles,methodology_version
b200-sxm,2026-05-13,0.8547,0.8553,247.0,289.0,2,v2.0.0
b200-sxm,2026-05-14,0.8245,0.832,248.2,301.0,6,v2.0.0
b200-sxm,2026-05-15,0.833,0.835,237.4,285.0,10,v2.0.0
b200-sxm,2026-05-16,0.8427,0.8335,236.8,281.0,14,v2.0.0
b200-sxm,2026-05-17,0.8306,0.8274,236.7,285.0,18,v2.0.0
b200-sxm,2026-05-18,0.8272,0.8302,240.7,291,21,v2.0.0
b200-sxm,2026-05-19,0.8329,0.833,241.5,290.0,24,v2.0.0
b200-sxm,2026-05-20,0.8386,0.8391,244.0,291,25,v2.0.0
b200-sxm,2026-05-21,0.8382,0.8415,243.9,291.0,24,v2.0.0
b200-sxm,2026-05-22,0.8358,0.8334,243.2,291,23,v2.0.0
b200-sxm,2026-05-23,0.8362,0.8331,243.3,291,23,v2.0.0
b200-sxm,2026-05-24,0.8168,0.813,237.7,291,23,v2.0.0
b200-sxm,2026-05-25,0.8049,0.8025,232.6,289,23,v2.0.0
b200-sxm,2026-05-26,0.7813,0.7789,227.3,291,23,v2.0.0
b200-sxm,2026-05-27,0.782,0.7826,226.0,289,23,v2.0.0
b200-sxm,2026-05-28,0.7443,0.7951,211.4,284,23,v2.0.0
b200-sxm,2026-05-29,0.724,0.7862,203.4,281,23,v2.0.0
b200-sxm,2026-05-30,0.6844,0.7418,188.2,275,23,v2.0.0
b200-sxm,2026-05-31,0.6743,0.7262,178.7,265,23,v2.0.0
b200-sxm,2026-06-01,0.653,0.6944,165.9,253.0,24,v2.0.0
b200-sxm,2026-06-02,0.6465,0.6871,157.6,241,25,v2.0.0
b200-sxm,2026-06-03,0.6087,0.6465,146.7,241.0,26,v2.0.0
b200-sxm,2026-06-04,0.6089,0.6077,151.6,249.0,26,v2.0.0
b200-sxm,2026-06-05,0.6216,0.6004,157.3,253.0,26,v2.0.0
b200-sxm,2026-06-06,0.6166,0.5953,160.9,261.0,26,v2.0.0
b200-sxm,2026-06-07,0.5675,0.5826,164.6,290.0,26,v2.0.0
b200-sxm,2026-06-08,0.5538,0.5764,171.1,309.0,26,v2.0.0
b200-sxm,2026-06-09,0.5472,0.5617,175.6,321,25,v2.0.0
b200-sxm,2026-06-10,0.5308,0.5417,172.5,325.0,24,v2.0.0
b200-sxm,2026-06-11,0.5144,0.5268,165.1,321,25,v2.0.0
b200-sxm,2026-06-12,0.4968,0.5185,161.5,325.0,24,v2.0.0
b200-sxm,2026-06-13,0.5017,0.5146,157.0,313,23,v2.0.0
b200-sxm,2026-06-14,0.5453,0.5171,153.5,281.5,22,v2.0.0
b200-sxm,2026-06-15,0.5117,0.536,143.8,281.0,20,v2.0.0
b200-sxm,2026-06-16,0.47,0.5658,128.8,274,19,v2.0.0
b200-sxm,2026-06-17,0.4224,0.6192,115.3,273,19,v2.0.0
b200-sxm,2026-06-18,0.4601,0.6589,118.7,258,17,v2.0.0
b200-sxm,2026-06-19,0.4804,0.6642,123.5,257,19,v2.0.0
b200-sxm,2026-06-20,0.4872,0.6803,123.5,253.5,18,v2.0.0
b200-sxm,2026-06-21,0.497,0.7052,123.8,249,17,v2.0.0
b200-sxm,2026-06-22,0.5416,0.6996,131.1,242.0,18,v2.0.0
b200-sxm,2026-06-23,0.5771,0.6861,141.7,245.5,16,v2.0.0
b200-sxm,2026-06-24,0.656,0.6608,164.0,250,13,v2.0.0
b200-sxm,2026-06-25,0.6488,0.6554,161.5,249,11,v2.0.0
b200-sxm,2026-06-26,0.6836,0.6767,159.3,233,11,v2.0.0
b200-sxm,2026-06-27,0.6603,0.6672,153.8,233,13,v2.0.0
b200-sxm,2026-06-28,0.6695,0.6805,156.0,233,15,v2.0.0
b200-sxm,2026-06-29,0.6969,0.6986,162.4,233.0,16,v2.0.0
b200-sxm,2026-06-30,0.6715,0.7447,156.4,233.0,20,v2.0.0
b200-sxm,2026-07-01,0.6787,0.745,150.3,221.5,24,v2.0.0
b200-sxm,2026-07-02,0.687,0.7648,149.1,217.0,28,v2.0.0
b200-sxm,2026-07-03,0.7047,0.7729,147.3,209.0,24,v2.0.0
