az_id,aws_region,place,zone,lat,lon,frozen_on
use1-az1,us-east-1,Northern Virginia,Z1,38.95,-77.45,2026-09-24
use1-az2,us-east-1,Northern Virginia,Z2,38.95,-77.45,2026-09-24
use1-az3,us-east-1,Northern Virginia,Z3,38.95,-77.45,2026-09-24
use1-az4,us-east-1,Northern Virginia,Z4,38.95,-77.45,2026-09-24
use1-az5,us-east-1,Northern Virginia,Z5,38.95,-77.45,2026-09-24
use1-az6,us-east-1,Northern Virginia,Z6,38.95,-77.45,2026-09-24
use2-az1,us-east-2,Columbus,Z1,40.0,-83.0,2026-09-24
use2-az2,us-east-2,Columbus,Z2,40.0,-83.0,2026-09-24
use2-az3,us-east-2,Columbus,Z3,40.0,-83.0,2026-09-24
usw1-az3,us-west-1,San Jose,Z1,37.35,-121.95,2026-09-24
usw2-az1,us-west-2,Columbia Basin,Z1,45.6,-121.2,2026-09-24
usw2-az2,us-west-2,Columbia Basin,Z2,45.6,-121.2,2026-09-24
usw2-az3,us-west-2,Columbia Basin,Z3,45.6,-121.2,2026-09-24
usw2-az4,us-west-2,Columbia Basin,Z4,45.6,-121.2,2026-09-24
cac1-az1,ca-central-1,Montreal,Z1,45.5,-73.6,2026-09-24
cac1-az2,ca-central-1,Montreal,Z2,45.5,-73.6,2026-09-24
cac1-az4,ca-central-1,Montreal,Z3,45.5,-73.6,2026-09-24
sae1-az1,sa-east-1,Sao Paulo,Z1,-23.55,-46.63,2026-09-24
sae1-az2,sa-east-1,Sao Paulo,Z2,-23.55,-46.63,2026-09-24
sae1-az3,sa-east-1,Sao Paulo,Z3,-23.55,-46.63,2026-09-24
euw1-az2,eu-west-1,Dublin,Z1,53.35,-6.26,2026-09-24
euw2-az1,eu-west-2,London,Z1,51.51,-0.13,2026-09-24
euw2-az2,eu-west-2,London,Z2,51.51,-0.13,2026-09-24
euw2-az3,eu-west-2,London,Z3,51.51,-0.13,2026-09-24
euw3-az1,eu-west-3,Paris,Z1,48.86,2.35,2026-09-24
euc1-az1,eu-central-1,Frankfurt,Z1,50.11,8.68,2026-09-24
euc1-az2,eu-central-1,Frankfurt,Z2,50.11,8.68,2026-09-24
euc1-az3,eu-central-1,Frankfurt,Z3,50.11,8.68,2026-09-24
eun1-az1,eu-north-1,Stockholm,Z1,59.33,18.07,2026-09-24
eun1-az2,eu-north-1,Stockholm,Z2,59.33,18.07,2026-09-24
eun1-az3,eu-north-1,Stockholm,Z3,59.33,18.07,2026-09-24
eus2-az1,eu-south-2,Aragon,Z1,41.65,-0.88,2026-09-24
eus2-az2,eu-south-2,Aragon,Z2,41.65,-0.88,2026-09-24
ilc1-az2,il-central-1,Tel Aviv,Z1,32.09,34.78,2026-09-24
aps1-az1,ap-south-1,Mumbai,Z1,19.08,72.88,2026-09-24
aps1-az2,ap-south-1,Mumbai,Z2,19.08,72.88,2026-09-24
aps1-az3,ap-south-1,Mumbai,Z3,19.08,72.88,2026-09-24
aps2-az1,ap-south-2,Hyderabad,Z1,17.39,78.49,2026-09-24
aps2-az2,ap-south-2,Hyderabad,Z2,17.39,78.49,2026-09-24
aps2-az3,ap-south-2,Hyderabad,Z3,17.39,78.49,2026-09-24
apne1-az1,ap-northeast-1,Tokyo,Z1,35.68,139.69,2026-09-24
apne1-az4,ap-northeast-1,Tokyo,Z2,35.68,139.69,2026-09-24
apne2-az1,ap-northeast-2,Seoul,Z1,37.57,126.98,2026-09-24
apne2-az2,ap-northeast-2,Seoul,Z2,37.57,126.98,2026-09-24
apne2-az3,ap-northeast-2,Seoul,Z3,37.57,126.98,2026-09-24
apne2-az4,ap-northeast-2,Seoul,Z4,37.57,126.98,2026-09-24
apse1-az2,ap-southeast-1,Singapore,Z1,1.35,103.82,2026-09-24
apse1-az3,ap-southeast-1,Singapore,Z2,1.35,103.82,2026-09-24
apse2-az1,ap-southeast-2,Sydney,Z1,-33.87,151.21,2026-09-24
apse2-az2,ap-southeast-2,Sydney,Z2,-33.87,151.21,2026-09-24
apse2-az3,ap-southeast-2,Sydney,Z3,-33.87,151.21,2026-09-24
apse3-az1,ap-southeast-3,Jakarta,Z1,-6.2,106.85,2026-09-24
apse3-az2,ap-southeast-3,Jakarta,Z2,-6.2,106.85,2026-09-24
apse3-az3,ap-southeast-3,Jakarta,Z3,-6.2,106.85,2026-09-24
