as_of_date,model_id,model_display,in_basket,n_providers,input_median_usd_per_mtok,input_min,input_max,input_dispersion_pct,output_median_usd_per_mtok,output_min,output_max,output_dispersion_pct,serving_axes,methodology_version
2026-09-05,deepseekv3.2,DeepSeek-V3.2,True,6,0.57000000,0.26000000,3.00000000,10.538461538461538,1.68000000,0.38000000,4.50000000,10.842105263157896,"{""context_length"": {""32768"": [""sambanova_tokens""]}, ""context_size"": {""163840"": [""novita_tokens""]}, ""deployment"": {""global"": [""azure_retail_tokens""], ""on-demand"": [""bedrock_offers"", ""vertex_billing""]}, ""quantization"": {""fp4"": [""deepinfra_tokens""]}, ""serving_venue"": {""aws_bedrock"": [""bedrock_offers""], ""azure_foundry"": [""azure_retail_tokens""], ""google_vertex"": [""vertex_billing""]}}",v2.3.2
2026-09-05,gemma431bit,gemma-4-31B-it,True,4,0.26000000,0.13000000,0.90000000,5.923076923076923,0.65000000,0.38000000,1.15000000,2.026315789473684,"{""context_length"": {""131072"": [""sambanova_tokens""], ""262144"": [""fireworks_tokens""]}, ""context_size"": {""262144"": [""novita_tokens""]}, ""quantization"": {""fp8"": [""deepinfra_tokens""]}}",v2.3.2
2026-09-05,gptoss120b,gpt-oss-120b,True,9,0.15000000,0.03700000,0.22000000,4.945945945945946,0.60000000,0.17000000,0.75000000,3.411764705882353,"{""context_length"": {""131072"": [""fireworks_tokens"", ""sambanova_tokens"", ""together_docs""]}, ""context_size"": {""131072"": [""novita_tokens""]}, ""deployment"": {""global"": [""azure_retail_tokens""], ""on-demand"": [""bedrock_offers"", ""vertex_billing""]}, ""quantization"": {""bfloat16"": [""deepinfra_tokens""], ""mxfp4"": [""together_docs""]}, ""serving_venue"": {""aws_bedrock"": [""bedrock_offers""], ""azure_foundry"": [""azure_retail_tokens""], ""google_vertex"": [""vertex_billing""], ""parasail"": [""parasail_pricing""], ""together"": [""together_docs""]}}",v2.3.2
2026-09-05,kimik2instruct,Kimi K2 Instruct,True,3,0.57000000,0.50000000,0.60000000,0.2,2.30000000,2.00000000,2.50000000,0.25,"{""context_length"": {""131072"": [""fireworks_tokens""]}, ""context_size"": {""131072"": [""novita_tokens""]}, ""quantization"": {""mixed: fp8/fp4"": [""deepinfra_tokens""]}}",v2.3.2
2026-09-05,qwen3coder480ba35binstruct,Qwen3 coder-480b-a35b-instruct,True,4,0.39000000,0.22000000,0.45000000,1.0454545454545454,1.70000000,1.55000000,1.80000000,0.16129032258064516,"{""context_length"": {""262144"": [""fireworks_tokens""]}, ""context_size"": {""262144"": [""novita_tokens""]}, ""deployment"": {""on-demand"": [""vertex_billing""]}, ""quantization"": {""fp8"": [""deepinfra_tokens""]}, ""serving_venue"": {""google_vertex"": [""vertex_billing""]}}",v2.3.2
2026-09-05,deepseekr1,Deepseek R1,False,5,1.35000000,0.70000000,4.00000000,4.714285714285714,5.40000000,2.40000000,5.40000000,1.25,"{""context_length"": {""163840"": [""fireworks_tokens""]}, ""context_size"": {""64000"": [""novita_tokens""]}, ""deployment"": {""global"": [""azure_retail_tokens""], ""on-demand"": [""bedrock_offers""]}, ""quantization"": {""fp4"": [""deepinfra_tokens""]}, ""serving_venue"": {""aws_bedrock"": [""bedrock_offers""], ""azure_foundry"": [""azure_retail_tokens""]}}",v2.3.2
2026-09-05,deepseekr10528,Deepseek R1 0528,False,4,1.02500000,0.50000000,1.35000000,1.7,3.95000000,2.15000000,5.40000000,1.5116279069767442,"{""context_length"": {""163840"": [""fireworks_tokens""]}, ""context_size"": {""163840"": [""novita_tokens""]}, ""deployment"": {""on-demand"": [""vertex_billing""]}, ""quantization"": {""fp4"": [""deepinfra_tokens""]}, ""serving_venue"": {""google_vertex"": [""vertex_billing""]}}",v2.3.2
2026-09-05,deepseekr1distillllama70b,DeepSeek R1 Distill Llama 70B,False,3,0.80000000,0.70000000,0.90000000,0.2857142857142857,0.80000000,0.80000000,0.90000000,0.125,"{""context_length"": {""131072"": [""fireworks_tokens""]}, ""context_size"": {""8192"": [""novita_tokens""]}, ""quantization"": {""fp8"": [""deepinfra_tokens""]}}",v2.3.2
2026-09-05,deepseekr1distillqwen32b,DeepSeek R1 Distill Qwen 32B,False,3,0.30000000,0.27000000,0.90000000,2.3333333333333335,0.30000000,0.27000000,0.90000000,2.3333333333333335,"{""context_length"": {""131072"": [""fireworks_tokens""]}, ""context_size"": {""64000"": [""novita_tokens""]}, ""quantization"": {""fp8"": [""deepinfra_tokens""]}}",v2.3.2
2026-09-05,deepseekv3,Deepseek V3,False,4,0.89500000,0.32000000,1.14000000,2.5625,0.89500000,0.89000000,4.56000000,4.123595505617978,"{""context_length"": {""131072"": [""fireworks_tokens""]}, ""context_size"": {""64000"": [""novita_tokens""]}, ""deployment"": {""global"": [""azure_retail_tokens""]}, ""quantization"": {""fp4"": [""deepinfra_tokens""]}, ""serving_venue"": {""azure_foundry"": [""azure_retail_tokens""]}}",v2.3.2
2026-09-05,deepseekv3.1,DeepSeek V3.1,False,6,0.57500000,0.25000000,3.00000000,11.0,1.67500000,0.95000000,4.94000000,4.2,"{""context_length"": {""131072"": [""sambanova_tokens""]}, ""context_size"": {""131072"": [""novita_tokens""]}, ""deployment"": {""global"": [""azure_retail_tokens""], ""on-demand"": [""vertex_billing""]}, ""quantization"": {""fp4"": [""deepinfra_tokens""]}, ""serving_venue"": {""azure_foundry"": [""azure_retail_tokens""], ""google_vertex"": [""vertex_billing""]}}",v2.3.2
2026-09-05,deepseekv30324,Deepseek V3-0324,False,4,0.58500000,0.24000000,1.14000000,3.75,1.01000000,0.90000000,4.56000000,4.066666666666666,"{""context_length"": {""163840"": [""fireworks_tokens""]}, ""context_size"": {""163840"": [""novita_tokens""]}, ""deployment"": {""global"": [""azure_retail_tokens""]}, ""quantization"": {""fp4"": [""deepinfra_tokens""]}, ""serving_venue"": {""azure_foundry"": [""azure_retail_tokens""]}}",v2.3.2
2026-09-05,deepseekv4flash,DeepSeek V4-Flash,False,7,0.14000000,0.09000000,0.44000000,3.888888888888889,0.28000000,0.18000000,1.32000000,6.333333333333333,"{""context_length"": {""1048576"": [""fireworks_tokens""]}, ""context_size"": {""1048576"": [""novita_tokens""]}, ""deployment"": {""global"": [""azure_retail_tokens""]}, ""quantization"": {""fp8"": [""deepinfra_tokens""]}, ""serving_venue"": {""azure_foundry"": [""azure_retail_tokens""], ""parasail"": [""parasail_pricing""]}}",v2.3.2
2026-09-05,deepseekv4flash0731,DeepSeek V4-Flash-0731,False,6,0.18000000,0.08000000,0.44000000,4.5,0.47000000,0.18000000,1.32000000,6.333333333333333,"{""context_length"": {""1048576"": [""fireworks_tokens"", ""together_docs""]}, ""context_size"": {""1048576"": [""novita_tokens""]}, ""deployment"": {""global"": [""azure_retail_tokens""]}, ""quantization"": {""fp4"": [""together_docs""], ""fp8"": [""deepinfra_tokens""]}, ""serving_venue"": {""azure_foundry"": [""azure_retail_tokens""], ""together"": [""together_docs""]}}",v2.3.2
2026-09-05,deepseekv4flashvisionexp,deepseek-v4-flash-vision-exp,False,4,0.44000000,0.22000000,0.44000000,1.0,1.32000000,0.66000000,1.32000000,1.0,"{""context_length"": {""1048576"": [""fireworks_tokens""]}, ""context_size"": {""1048576"": [""novita_tokens""]}, ""quantization"": {""fp8"": [""deepinfra_tokens""]}}",v2.3.2
2026-09-05,deepseekv4pro,DeepSeek V4-Pro,False,7,1.32000000,1.15000000,1.74000000,0.5130434782608696,3.20000000,1.20000000,3.96000000,2.3,"{""context_length"": {""1048576"": [""fireworks_tokens""]}, ""context_size"": {""1048576"": [""novita_tokens""]}, ""deployment"": {""global"": [""azure_retail_tokens""]}, ""quantization"": {""fp8"": [""deepinfra_tokens""]}, ""serving_venue"": {""azure_foundry"": [""azure_retail_tokens""], ""parasail"": [""parasail_pricing""]}}",v2.3.2
2026-09-05,deepseekv4pro0813,DeepSeek V4-Pro-0813,False,5,1.32000000,1.30000000,1.32000000,0.015384615384615385,3.96000000,2.60000000,3.96000000,0.5230769230769231,"{""context_length"": {""1048576"": [""fireworks_tokens"", ""together_docs""]}, ""context_size"": {""1048576"": [""novita_tokens""]}, ""quantization"": {""fp8"": [""deepinfra_tokens""], ""nvfp4"": [""together_docs""]}, ""serving_venue"": {""together"": [""together_docs""]}}",v2.3.2
2026-09-05,gemma312bit,Gemma 3 12B,False,4,0.07000000,0.05000000,0.20000000,3.0,0.17500000,0.10000000,0.29000000,1.9,"{""context_length"": {""131072"": [""fireworks_tokens""]}, ""context_size"": {""131072"": [""novita_tokens""]}, ""deployment"": {""on-demand"": [""bedrock_offers""]}, ""quantization"": {""bfloat16"": [""deepinfra_tokens""]}, ""serving_venue"": {""aws_bedrock"": [""bedrock_offers""]}}",v2.3.2
2026-09-05,gemma327bit,Gemma 3 27B,False,4,0.17450000,0.08000000,0.90000000,10.25,0.29000000,0.16000000,0.90000000,4.625,"{""context_length"": {""131072"": [""fireworks_tokens""]}, ""context_size"": {""98304"": [""novita_tokens""]}, ""deployment"": {""on-demand"": [""bedrock_offers""]}, ""quantization"": {""fp8"": [""deepinfra_tokens""]}, ""serving_venue"": {""aws_bedrock"": [""bedrock_offers""]}}",v2.3.2
2026-09-05,gemma34bit,Gemma 3 4B,False,3,0.05000000,0.04000000,0.20000000,4.0,0.10000000,0.08000000,0.20000000,1.5,"{""context_length"": {""131072"": [""fireworks_tokens""]}, ""deployment"": {""on-demand"": [""bedrock_offers""]}, ""quantization"": {""bfloat16"": [""deepinfra_tokens""]}, ""serving_venue"": {""aws_bedrock"": [""bedrock_offers""]}}",v2.3.2
2026-09-05,gemma426ba4bit,Gemma 4 26B A4B,False,3,0.13000000,0.07000000,0.50000000,6.142857142857143,0.40000000,0.34000000,0.50000000,0.47058823529411764,"{""context_length"": {""262144"": [""fireworks_tokens""]}, ""context_size"": {""262144"": [""novita_tokens""]}, ""quantization"": {""fp8"": [""deepinfra_tokens""]}}",v2.3.2
2026-09-05,glm4.5,GLM-4.5,False,3,0.60000000,0.38000000,0.60000000,0.5789473684210527,2.20000000,1.60000000,2.20000000,0.375,"{""context_size"": {""131072"": [""novita_tokens""]}, ""quantization"": {""fp8"": [""deepinfra_tokens""]}}",v2.3.2
2026-09-05,glm4.5air,GLM-4.5-Air,False,3,0.20000000,0.13000000,0.20000000,0.5384615384615384,1.10000000,0.85000000,1.10000000,0.29411764705882354,"{""context_size"": {""131072"": [""novita_tokens""]}, ""quantization"": {""fp8"": [""deepinfra_tokens""]}}",v2.3.2
2026-09-05,glm4.6,GLM-4.6,False,3,0.55000000,0.50000000,0.60000000,0.2,2.20000000,2.00000000,2.20000000,0.1,"{""context_size"": {""204800"": [""novita_tokens""]}, ""quantization"": {""fp4"": [""deepinfra_tokens""]}}",v2.3.2
2026-09-05,glm4.6v,GLM-4.6V,False,3,0.30000000,0.30000000,0.30000000,0.0,0.90000000,0.90000000,0.90000000,0.0,"{""context_size"": {""131072"": [""novita_tokens""]}, ""quantization"": {""fp8"": [""deepinfra_tokens""]}}",v2.3.2
2026-09-05,glm4.7,GLM-4.7,False,5,0.60000000,0.40000000,0.60000000,0.5,2.20000000,1.75000000,2.20000000,0.2571428571428571,"{""context_size"": {""204800"": [""novita_tokens""]}, ""deployment"": {""on-demand"": [""bedrock_offers"", ""vertex_billing""]}, ""quantization"": {""fp4"": [""deepinfra_tokens""]}, ""serving_venue"": {""aws_bedrock"": [""bedrock_offers""], ""google_vertex"": [""vertex_billing""]}}",v2.3.2
2026-09-05,glm4.7flash,GLM 4.7 Flash,False,3,0.07000000,0.06000000,0.07000000,0.16666666666666666,0.40000000,0.40000000,0.40000000,0.0,"{""context_size"": {""200000"": [""novita_tokens""]}, ""deployment"": {""on-demand"": [""bedrock_offers""]}, ""quantization"": {""bfloat16"": [""deepinfra_tokens""]}, ""serving_venue"": {""aws_bedrock"": [""bedrock_offers""]}}",v2.3.2
2026-09-05,glm5,GLM-5,False,7,1.00000000,0.60000000,1.00000000,0.6666666666666666,3.20000000,2.08000000,3.20000000,0.5384615384615384,"{""context_length"": {""202752"": [""fireworks_tokens""]}, ""context_size"": {""202800"": [""novita_tokens""]}, ""deployment"": {""on-demand"": [""bedrock_offers"", ""vertex_billing""]}, ""quantization"": {""fp4"": [""deepinfra_tokens""]}, ""serving_venue"": {""aws_bedrock"": [""bedrock_offers""], ""google_vertex"": [""vertex_billing""], ""parasail"": [""parasail_pricing""]}}",v2.3.2
2026-09-05,glm5.1,GLM-5.1,False,4,1.39000000,1.05000000,1.40000000,0.3333333333333333,4.40000000,3.50000000,4.40000000,0.2571428571428571,"{""context_size"": {""204800"": [""novita_tokens""]}, ""quantization"": {""fp4"": [""deepinfra_tokens""]}, ""serving_venue"": {""parasail"": [""parasail_pricing""]}}",v2.3.2
2026-09-05,glm5.2,GLM-5.2,False,6,1.40000000,0.75000000,1.40000000,0.8666666666666667,4.40000000,2.40000000,4.40000000,0.8333333333333334,"{""context_length"": {""1048575"": [""together_docs""]}, ""context_size"": {""1048576"": [""novita_tokens""]}, ""deployment"": {""on-demand"": [""vertex_billing""]}, ""quantization"": {""fp4"": [""deepinfra_tokens"", ""together_docs""]}, ""serving_venue"": {""google_vertex"": [""vertex_billing""], ""parasail"": [""parasail_pricing""], ""together"": [""together_docs""]}}",v2.3.2
