as_of_date,canonical_model_id,model_display,in_panel,in_frontier,providers
2026-08-13,claudefable5,Claude Fable 5,False,True,anthropic
2026-08-13,claudehaiku3.5,"Claude Haiku 3.5 (retired, except on Bedrock and Google Cloud)",False,True,anthropic
2026-08-13,claudehaiku4.5,Claude Haiku 4.5,False,True,anthropic
2026-08-13,claudemythos5,Claude Mythos 5 (limited availability),False,True,anthropic
2026-08-13,claudeopus4,"Claude Opus 4 (retired, except on Google Cloud)",False,True,anthropic
2026-08-13,claudeopus4.1,"Claude Opus 4.1 (retired, except on Bedrock and Google Cloud)",False,True,anthropic
2026-08-13,claudeopus4.5,Claude Opus 4.5,False,True,anthropic
2026-08-13,claudeopus4.6,Claude Opus 4.6,False,True,anthropic
2026-08-13,claudeopus4.7,Claude Opus 4.7,False,True,anthropic
2026-08-13,claudeopus4.8,Claude Opus 4.8,False,True,anthropic
2026-08-13,claudeopus5,Claude Opus 5,False,True,anthropic
2026-08-13,claudesonnet4,"Claude Sonnet 4 (retired, except on Bedrock and Google Cloud)",False,True,anthropic
2026-08-13,claudesonnet4.5,Claude Sonnet 4.5,False,True,anthropic
2026-08-13,claudesonnet4.6,Claude Sonnet 4.6,False,True,anthropic
2026-08-13,claudesonnet5,Claude Sonnet 5,False,True,anthropic
2026-08-13,deepseekr1,DeepSeek R1,True,False,
2026-08-13,deepseekr10528,DeepSeek R1 0528,True,False,
2026-08-13,deepseekr1distillllama70b,DeepSeek R1 Distill LLama 70B,True,False,
2026-08-13,deepseekr1distillqwen32b,DeepSeek R1 Distill Qwen 32B,True,False,
2026-08-13,deepseekv3,DeepSeek V3,True,False,
2026-08-13,deepseekv3.1,DeepSeek-V3.1,True,False,
2026-08-13,deepseekv3.2,DeepSeek-V3.2,True,False,
2026-08-13,deepseekv30324,DeepSeek V3 0324,True,False,
2026-08-13,deepseekv4flash,deepseek-v4-flash,True,True,deepseek
2026-08-13,deepseekv4flash0731,Deepseek V4 Flash 0731,True,False,
2026-08-13,deepseekv4pro,deepseek-v4-pro,True,True,deepseek
2026-08-13,gemini2.0flash,Gemini 2.0 Flash,False,True,google
2026-08-13,gemini2.0flashlite,Gemini 2.0 Flash-Lite,False,True,google
2026-08-13,gemini2.5computerusepreview102025,Gemini 2.5 Computer Use Preview,False,True,google
2026-08-13,gemini2.5flash,Gemini 2.5 Flash,False,True,google
2026-08-13,gemini2.5flashlite,Gemini 2.5 Flash-Lite,False,True,google
2026-08-13,gemini2.5flashlitepreview,Gemini 2.5 Flash-Lite Preview,False,True,google
