as_of_date,vvti_output_usd_per_mtok,vvti_input_usd_per_mtok,open_weight_output_usd_per_mtok,coverage_pct,n_models,settled,computed_on,methodology_version
2026-07-03,12.31149055,2.60527587,2.00488175,41.88260000,7,True,2026-09-12,v2.3.3
2026-07-04,12.93394999,2.72918522,2.10757493,42.64090000,7,True,2026-09-12,v2.3.3
2026-07-05,12.58737304,2.67830661,1.94467797,41.88450000,7,True,2026-09-12,v2.3.3
2026-07-06,14.43143207,3.03196478,2.07934877,38.16910000,6,True,2026-09-12,v2.3.3
2026-07-07,12.69025708,2.66726229,2.07103473,42.84280000,7,True,2026-09-12,v2.3.3
2026-07-08,14.11185750,2.91944959,1.84782093,51.34650000,8,True,2026-09-12,v2.3.3
2026-07-09,13.19068920,2.74037153,1.78070097,52.01240000,8,True,2026-09-12,v2.3.3
2026-07-10,12.99173428,2.70007727,1.81121786,52.00140000,8,True,2026-09-12,v2.3.3
2026-07-11,12.33189905,2.57413235,1.79156112,54.16640000,8,True,2026-09-12,v2.3.3
2026-07-12,12.90929682,2.68191393,1.75803907,52.41770000,8,True,2026-09-12,v2.3.3
2026-07-13,12.63410852,2.61235923,1.79934862,52.42480000,8,True,2026-09-12,v2.3.3
2026-07-14,11.65802747,2.43740967,2.01921711,53.58590000,8,True,2026-09-12,v2.3.3
2026-07-15,12.94588433,2.68419612,1.95342940,49.07640000,7,True,2026-09-12,v2.3.3
2026-07-16,10.41428926,2.17127856,2.08712192,55.32360000,8,True,2026-09-12,v2.3.3
2026-07-17,10.22314657,2.10187580,1.70991617,54.62590000,8,True,2026-09-12,v2.3.3
2026-07-18,8.75890651,1.79827582,1.53797418,57.63700000,8,True,2026-09-12,v2.3.3
2026-07-19,8.05025252,1.66826451,1.53901207,56.79890000,8,True,2026-09-12,v2.3.3
2026-07-20,9.28624082,1.91367427,1.58668435,53.18950000,8,True,2026-09-12,v2.3.3
2026-07-21,10.32167641,2.12115350,3.95553186,56.32110000,9,True,2026-09-12,v2.3.3
2026-07-22,12.02120627,2.47164670,5.04512947,52.16840000,9,True,2026-09-12,v2.3.3
2026-07-23,11.69938611,2.41592938,4.02437510,50.40180000,8,True,2026-09-12,v2.3.3
2026-07-24,11.96312834,2.45779699,1.71561184,50.06710000,9,True,2026-09-12,v2.3.3
2026-07-25,8.69794759,1.80416791,1.67486008,52.35620000,8,True,2026-09-12,v2.3.3
2026-07-26,9.27057637,1.92896194,4.48030545,49.42410000,8,True,2026-09-12,v2.3.3
2026-07-27,12.69919497,2.60304462,5.05751122,49.30950000,8,True,2026-09-12,v2.3.3
2026-07-28,12.90901391,2.60681231,4.46839550,48.90540000,8,True,2026-09-12,v2.3.3
2026-07-29,12.72813990,2.62558334,2.13999202,51.03570000,8,True,2026-09-12,v2.3.3
2026-07-30,11.70342319,2.42244769,5.91517707,54.78990000,9,True,2026-09-12,v2.3.3
2026-07-31,11.15742694,2.30771429,4.75918782,52.97440000,9,True,2026-09-12,v2.3.3
2026-08-01,10.18715848,2.13483223,4.55492235,52.15410000,9,True,2026-09-12,v2.3.3
2026-08-02,8.43481345,1.76671491,4.76944408,51.83640000,9,True,2026-09-12,v2.3.3
2026-08-03,10.73542172,2.23257024,2.43360234,44.67600000,8,True,2026-09-12,v2.3.3
2026-08-04,12.21480768,2.53236487,5.07020601,44.67190000,7,True,2026-09-12,v2.3.3
2026-08-05,13.87680638,2.85421430,4.97773401,45.92890000,7,True,2026-09-12,v2.3.3
2026-08-06,9.39606129,1.94390666,4.65950120,45.59050000,8,True,2026-09-12,v2.3.3
2026-08-07,8.88661100,1.84948654,4.57962653,49.50230000,8,True,2026-09-12,v2.3.3
2026-08-08,7.56056264,1.57918464,4.17188769,50.21940000,8,True,2026-09-12,v2.3.3
2026-08-09,5.28198883,1.12825140,3.42386078,50.34850000,8,True,2026-09-12,v2.3.3
2026-08-10,7.56987126,1.56540177,1.87280909,49.48310000,8,True,2026-09-12,v2.3.3
2026-08-11,9.15322656,1.85329942,4.50708250,49.38490000,8,True,2026-09-12,v2.3.3
2026-08-12,9.05396991,1.81390660,3.34509137,52.53120000,8,True,2026-09-12,v2.3.3
2026-08-13,7.97674101,1.64776379,1.60182953,51.56550000,8,True,2026-09-12,v2.3.3
2026-08-14,8.29744820,1.71460652,1.74148165,53.73870000,8,True,2026-09-12,v2.3.3
2026-08-15,6.16228279,1.24078117,1.10820280,57.29030000,8,True,2026-09-12,v2.3.3
2026-08-16,7.01910148,1.43518975,1.42757587,55.24620000,8,True,2026-09-12,v2.3.3
2026-08-17,7.69941250,1.60080715,2.28451485,49.89920000,8,True,2026-09-12,v2.3.3
2026-08-18,8.86832765,1.82641349,2.23857542,45.23020000,8,True,2026-09-12,v2.3.3
2026-08-19,8.68265913,1.82398631,2.55393495,46.48630000,8,True,2026-09-12,v2.3.3
2026-08-20,8.49508251,1.76931953,2.39104496,44.50280000,7,True,2026-09-12,v2.3.3
